nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Panama,GReeeN,1,2024-07-10,2023-04-27,77
"ZEIT, DASS SICH WAS DREHT",$OHO BANI,2,2024-07-10,2024-02-23,80
VEMPA,FOURTY,3,2024-07-10,2024-04-19,78
Wunder,AYLIVA,4,2024-07-10,2024-04-26,80
Mittelmeer,Pashanim,5,2024-07-10,2024-06-13,70
Gata Only,FloyyMenor,6,2024-07-10,2024-02-02,96
JUNGE BALLER,6PM RECORDS,7,2024-07-10,2024-06-07,78
Houdini,Eminem,8,2024-07-10,2024-05-31,94
Move,Adam Port,9,2024-07-10,2024-06-07,85
i like the way you kiss me,Artemas,10,2024-07-10,2024-03-19,95
Espresso,Sabrina Carpenter,11,2024-07-10,2024-04-12,99
wie du manchmal fehlst,Zartmann,12,2024-07-10,2024-06-21,65
Stumblin' In,CYRIL,13,2024-07-10,2023-11-10,88
Stargazing,Myles Smith,14,2024-07-10,2024-05-10,92
BIRDS OF A FEATHER,Billie Eilish,15,2024-07-10,2024-05-17,98
Belong Together,Mark Ambor,16,2024-07-10,2024-02-16,91
Si Ai,Tayna,17,2024-07-10,2024-06-11,67
Pedro,Jaxomy,18,2024-07-10,2024-03-29,88
Beautiful Things,Benson Boone,19,2024-07-10,2024-04-05,90
Rasenschach,Filow,20,2024-07-10,2024-06-17,71
A Bar Song (Tipsy),Shaboozey,21,2024-07-10,2024-05-31,86
Tough,Quavo,22,2024-07-10,2024-07-03,83
DEUTSCHLAND 🇩🇪,Ski Aggu,23,2024-07-10,2024-06-27,70
OPUS,reezy,24,2024-07-10,2024-07-05,65
Pistazieneis,01099,25,2024-07-10,2024-07-05,62
Too Sweet,Hozier,26,2024-07-10,2024-03-22,89
Baddies,Aitch,27,2024-07-10,2024-06-06,77
Vois sur ton chemin - Techno Mix,BENNETT,28,2024-07-10,2023-08-04,83
2000,Pashanim,29,2024-07-10,2024-06-13,73
Thank You (Not So Bad),Dimitri Vegas & Like Mike,30,2024-07-10,2023-12-01,85
I Don't Wanna Wait,David Guetta,31,2024-07-10,2024-04-05,90
Not Like Us,Kendrick Lamar,32,2024-07-10,2024-05-04,96
Abenteuerland,FiNCH,33,2024-07-10,2024-06-20,69
Austin (Boots Stop Workin'),Dasha,34,2024-07-10,2024-02-16,91
Major Tom (Völlig losgelöst) - 2022 Remaster,Peter Schilling,35,2024-07-10,1982-10-04,67
KEHLANI,Jordan Adetunji,36,2024-07-10,2024-06-24,71
Irgendwas klopft,CIVO,37,2024-07-10,2024-06-28,66
Beifahrer,AYLIVA,38,2024-07-10,2024-06-07,74
Ms. Jackson,Pashanim,39,2024-07-10,2023-08-24,72
Amo aller Amos,Amo,40,2024-07-10,2024-04-24,75
Dieser Sommer,Tream,41,2024-07-10,2024-05-31,72
Please Please Please,Sabrina Carpenter,42,2024-07-10,2024-06-06,98
MILLION DOLLAR BABY,Tommy Richman,43,2024-07-10,2024-04-26,94
BAND4BAND (feat. Lil Baby),Central Cee,44,2024-07-10,2024-05-23,91
Fall Back,Lithe,45,2024-07-10,2024-03-22,85
Mama hat gesagt,SDP,46,2024-07-10,2024-05-02,73
Alors (feat. CAPO),Kurdo,47,2024-07-10,2024-01-11,71
Unwritten,Natasha Bedingfield,48,2024-07-10,2004-08-30,87
eehhhyyy,Zartmann,49,2024-07-10,2024-06-21,65
Komet,Udo Lindenberg,50,2024-07-10,2023-01-19,72
