nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
No Ponga Excusas,Cris Mj,1,2024-07-10,2024-06-20,76
SI NO ES CONTIGO,Cris Mj,2,2024-07-10,2024-05-23,88
Si Antes Te Hubiera Conocido,KAROL G,3,2024-07-10,2024-06-21,90
APAGA EL CEL,FloyyMenor,4,2024-07-10,2024-05-17,85
REAL GANGSTA LOVE,Trueno,5,2024-07-10,2024-05-23,91
Gata Only,FloyyMenor,6,2024-07-10,2024-02-02,96
MUJER FINA,Jere Klein,7,2024-07-10,2024-05-30,74
Mi Automóvil,Fran C,8,2024-07-10,2024-06-27,63
Instinto,Kidd Voodoo,9,2024-07-10,2024-07-04,62
Mirame,Blessd,10,2024-07-10,2024-04-17,82
Enrolar - Fantastic Four Remix,Kidd Voodoo,11,2024-07-10,2024-04-11,73
Gitana (feat. Bryartz),Pablo Chill-E,12,2024-07-10,2024-03-29,79
Avísame,Lucky Brown,13,2024-07-10,2024-05-03,74
SOLO DIME,Jere Klein,14,2024-07-10,2024-05-30,71
LUNA,Feid,15,2024-07-10,2023-12-01,90
Daytona,Cris Mj,16,2024-07-10,2023-11-09,80
Coa Xorete,Lucky Brown,17,2024-07-10,2024-03-14,71
Bastardo (feat. Ñengo Flow & Jere Klein),Pablo Chill-E,18,2024-07-10,2024-03-29,73
Diabólica,Cris Mj,19,2024-07-10,2023-11-09,76
ADIVINO,Myke Towers,20,2024-07-10,2024-04-25,88
miau,Young Cister,21,2024-07-10,2024-06-14,68
LUNA DILE,Gino Mella,22,2024-07-10,2024-07-04,57
Piel,Tiago PZK,23,2024-07-10,2024-07-04,60
REELS,Jere Klein,24,2024-07-10,2024-05-30,68
Escarlata - Remix,eleven1.1,25,2024-07-10,2024-02-22,70
Rapido (with Cris Mj),Dei V,26,2024-07-10,2024-06-14,78
Santa,Rvssian,27,2024-07-10,2024-04-03,84
Que Hay Amor,Cris Mj,28,2024-07-10,2024-04-04,76
Es un Secreto,Plan B,29,2024-07-10,2010-07-20,84
Ese Guille,Kidd Voodoo,30,2024-07-10,2024-02-29,70
Cuando Te Vi | CROSSOVER #5,Big One,31,2024-07-10,2024-06-27,77
Minnie <3,Kidd Voodoo,32,2024-07-10,2024-02-29,69
PRINCESITA DE ...,Jere Klein,33,2024-07-10,2023-12-01,72
¿Cuál Es Su Nombre?,Lucky Brown,34,2024-07-10,2023-09-14,70
AMARGURA,KAROL G,35,2024-07-10,2023-02-24,86
QLONA,KAROL G,36,2024-07-10,2023-08-10,86
Que Brille Sola Mami,Tobal Mj,37,2024-07-10,2024-04-13,66
SORRY 4 THAT MUCH,Feid,38,2024-07-10,2024-06-07,87
Please Please Please,Sabrina Carpenter,39,2024-07-10,2024-06-06,98
BBY BOO - REMIX,iZaak,40,2024-07-10,2024-03-27,83
Solos (feat. Plan B),Tony Dize,41,2024-07-10,2009-11-09,75
Partyson,Cris Mj,42,2024-07-10,2023-11-09,68
MI EX TENÍA RAZÓN,KAROL G,43,2024-07-10,2023-08-10,83
La Bachata,Manuel Turizo,44,2024-07-10,2023-03-17,85
Espresso,Sabrina Carpenter,45,2024-07-10,2024-04-12,99
LA BANDA,Jere Klein,46,2024-07-10,2024-05-30,66
"Perdonarte, ¿Para Qué?",Los Ángeles Azules,47,2024-07-10,2024-05-23,82
ME GUSTA,FloyyMenor,48,2024-07-10,2024-03-01,67
Grabándote:),Kidd Voodoo,49,2024-07-10,2024-02-29,67
BLANKITA COMO NIEVE,Jere Klein,50,2024-07-10,2024-05-30,66
