nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Mirame,Blessd,1,2024-07-10,2024-04-17,82
Si Antes Te Hubiera Conocido,KAROL G,2,2024-07-10,2024-06-21,90
SORRY 4 THAT MUCH,Feid,3,2024-07-10,2024-06-07,87
LUNA,Feid,4,2024-07-10,2023-12-01,90
Ohnana,Kapo,5,2024-07-10,2024-06-06,75
REAL GANGSTA LOVE,Trueno,6,2024-07-10,2024-05-23,91
EL RITMO QUE NOS UNE - feat. Selección Colombia,Ryan Castro,7,2024-07-10,2024-06-08,69
Brickell,Feid,8,2024-07-10,2024-04-10,83
Orion,Boza,9,2024-07-10,2024-05-29,79
AMARGURA,KAROL G,10,2024-07-10,2023-02-24,86
Chismofilia,Luis Alfonso,11,2024-07-10,2024-06-05,69
PERRO NEGRO,Bad Bunny,12,2024-07-10,2023-10-13,87
QLONA,KAROL G,13,2024-07-10,2023-08-10,86
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,14,2024-07-10,2024-05-17,83
Gata Only,FloyyMenor,15,2024-07-10,2024-02-02,96
Santa,Rvssian,16,2024-07-10,2024-04-03,84
La Bachata,Manuel Turizo,17,2024-07-10,2023-03-17,85
Feliz Cumpleaños Ferxxo,Feid,18,2024-07-10,2022-09-14,82
WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),J Abdiel,19,2024-07-10,2024-06-21,74
Contentoso,Luis Alfonso,20,2024-07-10,2024-03-14,67
CUAL ES ESA,Feid,21,2024-07-10,2023-12-01,75
MI EX TENÍA RAZÓN,KAROL G,22,2024-07-10,2023-08-10,83
Primera Cita,Carin Leon,23,2024-07-10,2023-05-19,84
ADIVINO,Myke Towers,24,2024-07-10,2024-04-25,88
SI SABE FERXXO,Blessd,25,2024-07-10,2024-01-25,76
CLASSY 101,Feid,26,2024-07-10,2023-12-01,82
offline,Young Miko,27,2024-07-10,2024-04-05,85
Señal De Vida,Ñejo & Dalmata,28,2024-07-10,2013-01-01,69
Según Quién,Maluma,29,2024-07-10,2023-08-25,82
Oe Bebé,Blessd,30,2024-07-10,2024-06-05,72
Una Vida Pasada,Camilo,31,2024-07-10,2024-05-23,75
Normal,Feid,32,2024-07-10,2022-09-14,80
Monastery,Ryan Castro,33,2024-07-10,2021-11-12,74
Es un Secreto,Plan B,34,2024-07-10,2010-07-20,84
Borro Cassette,Maluma,35,2024-07-10,2015-10-30,81
Ferxxo 100,Feid,36,2024-07-10,2022-09-14,77
LA CANCIÓN,J Balvin,37,2024-07-10,2019-06-28,83
Dile a Tu Amiga,Dalmata,38,2024-07-10,2011-12-13,68
La Diabla,Xavi,39,2024-07-10,2023-11-30,86
No Se Va,Morat,40,2024-07-10,2018-10-25,77
Dile,Don Omar,41,2024-07-10,2003-01-01,82
LA FALDA,Myke Towers,42,2024-07-10,2023-09-18,85
WYA REMIX RED,J Abdiel,43,2024-07-10,2024-05-10,80
Jordan,Ryan Castro,44,2024-07-10,2022-05-24,77
Hey Mor,Ozuna,45,2024-07-10,2022-10-07,79
Mi Palabra Contra la de Ellos - En Vivo,Luis Alfonso,46,2024-07-10,2023-03-23,67
Pa' Que Retozen,Tego Calderón,47,2024-07-10,2003-07-01,79
PROVENZA,KAROL G,48,2024-07-10,2023-02-24,81
Morena,Beéle,49,2024-07-10,2023-11-09,72
Solos (feat. Plan B),Tony Dize,50,2024-07-10,2009-11-09,75
