nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Like Crazy,Jimin,1,2024-07-10,2023-03-24,88
Smeraldo Garden Marching Band (feat. Loco),Jimin,2,2024-07-10,2024-06-28,91
Seven (feat. Latto) (Explicit Ver.),Jung Kook,3,2024-07-10,2023-11-03,85
Supernatural,NewJeans,4,2024-07-10,2024-06-21,81
Closer Than This,Jimin,5,2024-07-10,2023-12-22,85
Like Crazy (English Version),Jimin,6,2024-07-10,2023-03-24,74
Sticky,KISS OF LIFE,7,2024-07-10,2024-07-01,73
Set Me Free Pt.2,Jimin,8,2024-07-10,2023-03-17,78
How Sweet,NewJeans,9,2024-07-10,2024-05-24,84
Small girl (feat. D.O.),Lee Young Ji,10,2024-07-10,2024-06-21,75
Standing Next to You,Jung Kook,11,2024-07-10,2023-11-03,89
3D (feat. Jack Harlow),Jung Kook,12,2024-07-10,2023-10-02,78
Supernova,aespa,13,2024-07-10,2024-05-27,75
Magnetic,ILLIT,14,2024-07-10,2024-03-25,89
Bubble Gum,NewJeans,15,2024-07-10,2024-05-24,80
Right Now,NewJeans,16,2024-07-10,2024-06-21,76
Armageddon,aespa,17,2024-07-10,2024-05-27,79
Warmth,Lim Young Woong,18,2024-07-10,2024-05-06,65
Home,Lim Young Woong,19,2024-07-10,2024-05-06,65
Never Let Go,Jung Kook,20,2024-07-10,2024-06-07,90
Do or Die,Lim Young Woong,21,2024-07-10,2023-10-09,62
Grain of Sand,Lim Young Woong,22,2024-07-10,2023-06-05,61
踊り子,Vaundy,23,2024-07-10,2023-11-15,69
London Boy,Lim Young Woong,24,2024-07-10,2022-11-15,60
MILLION DOLLAR BABY,Tommy Richman,25,2024-07-10,2024-04-26,94
Boom Boom Bass,RIIZE,26,2024-07-10,2024-06-17,67
BIRDS OF A FEATHER,Billie Eilish,27,2024-07-10,2024-05-17,98
Espresso,Sabrina Carpenter,28,2024-07-10,2024-04-12,99
Polaroid,Lim Young Woong,29,2024-07-10,2022-11-15,58
Love Me Again,V,30,2024-07-10,2023-08-11,87
If We Ever Meet Again,Lim Young Woong,31,2024-07-10,2022-05-02,57
Cosmic,Red Velvet,32,2024-07-10,2024-06-24,72
SPOT!,ZICO,33,2024-07-10,2024-04-26,84
Sudden Shower,ECLIPSE,34,2024-07-10,2024-04-08,78
Please Please Please,Sabrina Carpenter,35,2024-07-10,2024-06-06,98
T.B.H,QWER,36,2024-07-10,2024-04-01,62
Rockstar,LISA,37,2024-07-10,2024-06-27,90
Super Shy,NewJeans,38,2024-07-10,2023-07-07,81
"If I’m S, Can You Be My N?",TWS,39,2024-07-10,2024-06-24,67
Not Like Us,Kendrick Lamar,40,2024-07-10,2024-05-04,96
Hype Boy,NewJeans,41,2024-07-10,2022-08-01,78
New Jeans,NewJeans,42,2024-07-10,2023-07-07,77
Rainbow,Lim Young Woong,43,2024-07-10,2022-05-02,55
Heaven,TAEYEON,44,2024-07-10,2024-07-08,52
FRI(END)S,V,45,2024-07-10,2024-03-15,89
ABCD,NAYEON,46,2024-07-10,2024-06-14,67
"Our Blues, Our Life",Lim Young Woong,47,2024-07-10,2022-05-02,55
Ditto,NewJeans,48,2024-07-10,2022-12-19,78
ETA,NewJeans,49,2024-07-10,2023-07-21,78
FOREVER,BABYMONSTER,50,2024-07-10,2024-07-01,55
