nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Imagine,Carbonne,1,2024-07-10,2024-05-03,82
SPIDER,GIMS,2,2024-07-10,2024-05-10,82
Gata Only,FloyyMenor,3,2024-07-10,2024-02-02,96
Hakayet,VEN1,4,2024-07-10,2023-11-20,74
Aucune attache,KeBlack,5,2024-07-10,2024-02-02,76
Wayeh,THEODORT,6,2024-07-10,2024-05-24,72
Espresso,Sabrina Carpenter,7,2024-07-10,2024-04-12,99
Mélanine,Heuss L'enfoiré,8,2024-07-10,2024-06-14,65
Petit génie,Jungeli,9,2024-07-10,2023-08-04,78
Boucan (feat. Franglish),KeBlack,10,2024-07-10,2024-04-25,77
Beautiful Things,Benson Boone,11,2024-07-10,2024-04-05,90
Dougie,K2S,12,2024-07-10,2024-06-14,66
Confidences,Vacra,13,2024-07-10,2024-05-09,73
Position,Franglish,14,2024-07-10,2024-02-15,76
The Sound of Silence - CYRIL Remix,Disturbed,15,2024-07-10,2024-02-02,86
Stumblin' In,CYRIL,16,2024-07-10,2023-11-10,88
I Don't Wanna Wait,David Guetta,17,2024-07-10,2024-04-05,90
I love you,Dadju,18,2024-07-10,2024-02-16,68
MAMI WATA,Gazo,19,2024-07-10,2023-12-01,75
GARS DU ZOO,UZI,20,2024-07-10,2024-03-01,72
Oh qu'elle est belle,Jul,21,2024-07-10,2024-01-19,72
i like the way you kiss me,Artemas,22,2024-07-10,2024-03-19,95
TI TI TI,Gradur,23,2024-07-10,2024-06-14,69
Tu connais,Werenoi,24,2024-07-10,2023-09-21,71
Belong Together,Mark Ambor,25,2024-07-10,2024-02-16,91
Parler tout bas,Bouss,26,2024-07-10,2024-05-01,65
Si No Estás,iñigo quintero,27,2024-07-10,2022-09-23,83
Training Season,Dua Lipa,28,2024-07-10,2024-05-03,82
Faut pas,PLK,29,2024-07-10,2024-02-01,71
Casanova,Soolking,30,2024-07-10,2023-07-06,76
Michael Jordan,DA Uzi,31,2024-07-10,2024-03-08,72
FLASHBACK,Favé,32,2024-07-10,2023-10-13,70
Move,Adam Port,33,2024-07-10,2024-06-07,85
Nous on sait,Pierre Garnier,34,2024-07-10,2024-06-07,63
Dolce Camara,Booba,35,2024-07-10,2024-02-08,67
Bolide allemand,SDM,36,2024-07-10,2022-12-02,72
Mes Lovés,Ponko,37,2024-07-10,2024-06-21,68
Avec classe (feat. Aya Nakamura & Trinix),Corneille,38,2024-07-10,2024-02-02,72
Stargazing,Myles Smith,39,2024-07-10,2024-05-10,92
Temps en temps,Zola,40,2024-07-10,2024-02-09,66
LAISSE MOI,KeBlack,41,2024-07-10,2023-09-08,69
Too Sweet,Hozier,42,2024-07-10,2024-03-22,89
The Door,Teddy Swims,43,2024-07-10,2023-09-15,85
BIRDS OF A FEATHER,Billie Eilish,44,2024-07-10,2024-05-17,98
LOCO,GIMS,45,2024-07-10,2024-01-25,62
Lose Control,Teddy Swims,46,2024-07-10,2023-09-15,90
No lo sé,Lacrim,47,2024-07-10,2024-06-14,64
Saiyan,Heuss L'enfoiré,48,2024-07-10,2023-06-30,67
Maudit,Werenoi,49,2024-07-10,2024-02-16,69
42,Aya Nakamura,50,2024-07-10,2024-06-19,68
