nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Si No Quieres No,Luis R Conriquez,1,2024-07-10,2024-03-10,88
LA PATRULLA,Peso Pluma,2,2024-07-10,2024-06-20,81
Volver Al Futuro,Oscar Maydon,3,2024-07-10,2024-05-30,86
Si Antes Te Hubiera Conocido,KAROL G,4,2024-07-10,2024-06-21,90
Madonna,Natanael Cano,5,2024-07-10,2024-03-08,87
REAL GANGSTA LOVE,Trueno,6,2024-07-10,2024-05-23,91
Gata Only,FloyyMenor,7,2024-07-10,2024-02-02,96
YCQVM,Nueva H,8,2024-07-10,2024-06-12,82
VINO TINTO,Peso Pluma,9,2024-07-10,2024-06-20,82
Regalo De Dios,Julión Álvarez y su Norteño Banda,10,2024-07-10,2023-11-17,84
SANTAL 33,Peso Pluma,11,2024-07-10,2024-06-20,78
LINDA,Tito Double P,12,2024-07-10,2024-05-23,79
Y LLORO,Junior H,13,2024-07-10,2023-10-05,83
TÚ NAME,Fuerza Regida,14,2024-07-10,2024-02-09,85
Que Onda,Calle 24,15,2024-07-10,2023-08-30,84
EL AMOR DE SU VIDA,Grupo Frontera,16,2024-07-10,2023-08-25,82
SI NO ES CONTIGO,Cris Mj,17,2024-07-10,2024-05-23,88
TOMMY & PAMELA,Peso Pluma,18,2024-07-10,2024-06-20,76
El Beneficio De La Duda,Grupo Firme,19,2024-07-10,2024-05-28,82
LUNA,Feid,20,2024-07-10,2023-12-01,90
Elvira,Oscar Maydon,21,2024-07-10,2023-12-22,84
Entre las de 20,Bizarrap,22,2024-07-10,2024-04-02,80
ADIVINO,Myke Towers,23,2024-07-10,2024-04-25,88
Primera Cita,Carin Leon,24,2024-07-10,2023-05-19,84
Lo Tienes Todo,Julión Álvarez y su Norteño Banda,25,2024-07-10,2023-11-17,81
Corazón de Piedra,Xavi,26,2024-07-10,2024-03-21,84
300 Noches,Belinda,27,2024-07-10,2024-04-25,80
La Diabla,Xavi,28,2024-07-10,2023-11-30,86
Ya Te Olvide,Natanael Cano,29,2024-07-10,2024-05-15,82
Es un Secreto,Plan B,30,2024-07-10,2010-07-20,84
Despídase bien,Carin Leon,31,2024-07-10,2024-05-30,81
Pocos Años Mil Errores,Kevin AMF,32,2024-07-10,2024-05-28,78
RELOJ,Peso Pluma,33,2024-07-10,2024-06-20,78
Amor,emmanuellcortess_,34,2024-07-10,2023-07-28,79
Santa,Rvssian,35,2024-07-10,2024-04-03,84
Please Please Please,Sabrina Carpenter,36,2024-07-10,2024-06-06,98
Porque Te Vas,Victor Cibrian,37,2024-07-10,2024-04-05,80
QLONA,KAROL G,38,2024-07-10,2023-08-10,86
ROCKSTAR,Junior H,39,2024-07-10,2023-10-05,81
GTA,Luis R Conriquez,40,2024-07-10,2024-02-29,80
"Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap,41,2024-07-10,2024-04-02,80
UNA CERVEZA,Fuerza Regida,42,2024-07-10,2023-10-20,82
BELANOVA,Peso Pluma,43,2024-07-10,2024-06-20,77
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza,44,2024-07-10,2024-04-18,84
Un Desperdicio,Rels B,45,2024-07-10,2024-04-26,80
HOLLYWOOD,Peso Pluma,46,2024-07-10,2024-06-20,77
QUE VUELVAS,Grupo Frontera,47,2024-07-10,2023-08-25,79
PRIMO,Tito Double P,48,2024-07-10,2024-07-05,66
LA PEOPLE II,Peso Pluma,49,2024-07-10,2024-06-20,75
SORRY 4 THAT MUCH,Feid,50,2024-07-10,2024-06-07,87
