nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
REAL GANGSTA LOVE,Trueno,1,2024-07-10,2024-05-23,91
Si Antes Te Hubiera Conocido,KAROL G,2,2024-07-10,2024-06-21,90
LUNA,Feid,3,2024-07-10,2023-12-01,90
Santa,Rvssian,4,2024-07-10,2024-04-03,84
Gata Only,FloyyMenor,5,2024-07-10,2024-02-02,96
SORRY 4 THAT MUCH,Feid,6,2024-07-10,2024-06-07,87
PARTIDO EN DOS,La Única Tropical,7,2024-07-10,2024-02-24,70
Mirame,Blessd,8,2024-07-10,2024-04-17,82
SI NO ES CONTIGO,Cris Mj,9,2024-07-10,2024-05-23,88
Piel,Tiago PZK,10,2024-07-10,2024-07-04,60
AMARGURA,KAROL G,11,2024-07-10,2023-02-24,86
offline,Young Miko,12,2024-07-10,2024-04-05,85
La Bachata,Manuel Turizo,13,2024-07-10,2023-03-17,85
PERRO NEGRO,Bad Bunny,14,2024-07-10,2023-10-13,87
Borro Cassette,Maluma,15,2024-07-10,2015-10-30,81
QLONA,KAROL G,16,2024-07-10,2023-08-10,86
Brickell,Feid,17,2024-07-10,2024-04-10,83
APAGA EL CEL,FloyyMenor,18,2024-07-10,2024-05-17,85
MI EX TENÍA RAZÓN,KAROL G,19,2024-07-10,2023-08-10,83
Una Vida Pasada,Camilo,20,2024-07-10,2024-05-23,75
Orion,Boza,21,2024-07-10,2024-05-29,79
Rara Vez,Taiu,22,2024-07-10,2023-02-08,81
LA FALDA,Myke Towers,23,2024-07-10,2023-09-18,85
Mamichula - con Nicki Nicole,Trueno,24,2024-07-10,2020-07-23,80
Feliz Cumpleaños Ferxxo,Feid,25,2024-07-10,2022-09-14,82
Please Please Please,Sabrina Carpenter,26,2024-07-10,2024-06-06,98
WYA REMIX RED,J Abdiel,27,2024-07-10,2024-05-10,80
CLASSY 101,Feid,28,2024-07-10,2023-12-01,82
Una Foto Remix (feat. Emilia),Mesita,29,2024-07-10,2024-01-05,80
Columbia,Quevedo,30,2024-07-10,2023-07-07,83
Espresso,Sabrina Carpenter,31,2024-07-10,2024-04-12,99
Si Esta Casa Hablara,La Única Tropical,32,2024-07-10,2018-01-02,65
Es un Secreto,Plan B,33,2024-07-10,2010-07-20,84
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,34,2024-07-10,2024-05-17,83
ADIVINO,Myke Towers,35,2024-07-10,2024-04-25,88
La Curiosidad,Jay Wheeler,36,2024-07-10,2020-06-12,81
LA CANCIÓN,J Balvin,37,2024-07-10,2019-06-28,83
Desesperados,Rauw Alejandro,38,2024-07-10,2021-12-10,82
BBY BOO - REMIX,iZaak,39,2024-07-10,2024-03-27,83
Amanece,Anuel AA,40,2024-07-10,2018-12-14,81
Tiroteo - Remix,Marc Seguí,41,2024-07-10,2021-04-01,80
Normal,Feid,42,2024-07-10,2022-09-14,80
Cuando Te Vi | CROSSOVER #5,Big One,43,2024-07-10,2024-06-27,77
Según Quién,Maluma,44,2024-07-10,2023-08-25,82
Cúrame,Rauw Alejandro,45,2024-07-10,2021-12-10,81
"Perdonarte, ¿Para Qué?",Los Ángeles Azules,46,2024-07-10,2024-05-23,82
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",Bhavi,47,2024-07-10,2024-04-16,80
Cual Adios,La Única Tropical,48,2024-07-10,2018-01-02,62
BIRDS OF A FEATHER,Billie Eilish,49,2024-07-10,2024-05-17,98
Smeraldo Garden Marching Band (feat. Loco),Jimin,50,2024-07-10,2024-06-28,91
