nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Hasta la Muerte,Producto Sin Corte,1,2024-07-10,2024-06-14,69
LUNA,Feid,2,2024-07-10,2023-12-01,90
SORRY 4 THAT MUCH,Feid,3,2024-07-10,2024-06-07,87
Dicen Por Ahí,Valentina Olguin,4,2024-07-10,2024-06-06,33
XQCP,iZaak,5,2024-07-10,2024-06-06,70
Santa,Rvssian,6,2024-07-10,2024-04-04,88
WYA,J Abdiel,7,2024-07-10,2023-09-20,75
Luz,Fede Vigevani,8,2024-07-10,2022-10-06,18
Toki,Casper Magico,9,2024-07-10,2024-05-02,64
REAL GANGSTA LOVE,Trueno,10,2024-07-10,2024-05-23,91
BBY BOO - REMIX,iZaak,11,2024-07-10,2024-03-27,83
Lo Que Nos Pasó,Maca Castro,12,2024-07-10,2023-08-17,12
Bonnie and Clyde,iZaak,13,2024-07-10,2023-01-27,43
El Efecto,Rauw Alejandro,14,2024-07-10,2019-03-15,78
CLIMA (with Foreign Teck),Dei V,15,2024-07-10,2024-05-31,65
Solita,Fede Vigevani,16,2024-07-10,2020-04-01,0
ADIVINO,Myke Towers,17,2024-07-10,2024-04-25,88
Callaita,Bad Bunny,18,2024-07-10,2019-05-31,74
Polvo de tu Vida,J Balvin,19,2024-07-10,2024-06-07,74
LA RANGER (feat. Myke Towers),The Academy: Segunda Misión,20,2024-07-10,2024-03-28,78
Gotas En Mi Piel,Maca Castro,21,2024-07-10,2024-03-14,23
Brickell,Feid,22,2024-07-10,2024-04-10,83
Martini,Dei V,23,2024-07-10,2024-04-25,74
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,24,2024-07-10,2024-05-17,83
Bellakita,Conep,25,2024-07-10,2024-05-14,64
Gata Only,FloyyMenor,26,2024-07-10,2024-02-02,96
"QUÍTENME EL TELÉFONO (feat. Yandel, Jay Wheeler)",The Academy: Segunda Misión,27,2024-07-10,2024-03-28,72
Fecha,Feid,28,2024-07-10,2024-04-10,72
Heavyweight,Eladio Carrion,29,2024-07-10,2024-05-01,66
SI SI SI SI (feat. The Academy: Segunda Misión),Eladio Carrion,30,2024-07-10,2024-03-28,68
Lollipop - Remix,Darell,31,2024-07-10,2024-02-15,72
LA NENA,Lyanno,32,2024-07-10,2024-04-11,75
GODIVA,Ovy On The Drums,33,2024-07-10,2024-03-14,66
LUCES DE COLORES,Omar Courtz,34,2024-07-10,2024-02-14,67
HUMO,Chencho Corleone,35,2024-07-10,2024-04-04,76
BAD BOY,Chris Jedi,36,2024-07-10,2024-02-07,69
PERREO LENTO,Chris Jedi,37,2024-07-10,2024-02-09,70
No Te Quieren Conmigo,Gaby Music,38,2024-07-10,2023-12-15,77
Hey Lil Mama,Eladio Carrion,39,2024-07-10,2024-01-19,73
Tacos Gucci,Anuel AA,40,2024-07-10,2024-02-15,65
MONACO,Bad Bunny,41,2024-07-10,2023-10-13,81
Lollipop,Darell,42,2024-07-10,2023-07-28,74
Pa la Proxima,Cosculluela,43,2024-07-10,2023-12-12,52
PRIMER AVISO,Maria Becerra,44,2024-07-10,2024-02-29,68
PERRO NEGRO,Bad Bunny,45,2024-07-10,2023-10-13,87
QLONA,KAROL G,46,2024-07-10,2023-08-10,86
DILUVIO,Rauw Alejandro,47,2024-07-10,2023-07-07,81
Tormentos,Maca Castro,48,2024-07-10,2023-11-16,6
LALA,Myke Towers,49,2024-07-10,2023-03-23,83
Columbia,Quevedo,50,2024-07-10,2023-07-07,83
