nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Si Antes Te Hubiera Conocido,KAROL G,1,2024-07-10,2024-06-21,90
LUNA,Feid,2,2024-07-10,2023-12-01,90
Mirame,Blessd,3,2024-07-10,2024-04-17,82
REAL GANGSTA LOVE,Trueno,4,2024-07-10,2024-05-23,91
Orion,Boza,5,2024-07-10,2024-05-29,79
Santa,Rvssian,6,2024-07-10,2024-04-03,84
SORRY 4 THAT MUCH,Feid,7,2024-07-10,2024-06-07,87
AMARGURA,KAROL G,8,2024-07-10,2023-02-24,86
Brickell,Feid,9,2024-07-10,2024-04-10,83
WYA REMIX RED,J Abdiel,10,2024-07-10,2024-05-10,80
Gata Only,FloyyMenor,11,2024-07-10,2024-02-02,96
Es un Secreto,Plan B,12,2024-07-10,2010-07-20,84
Mia,Steven Vitali,13,2024-07-10,2024-06-06,43
PERRO NEGRO,Bad Bunny,14,2024-07-10,2023-10-13,87
Smeraldo Garden Marching Band (feat. Loco),Jimin,15,2024-07-10,2024-06-28,91
QLONA,KAROL G,16,2024-07-10,2023-08-10,86
Hora Loca,Rawayana,17,2024-07-10,2023-09-21,64
Ohnana,Kapo,18,2024-07-10,2024-06-06,75
MI EX TENÍA RAZÓN,KAROL G,19,2024-07-10,2023-08-10,83
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,20,2024-07-10,2024-05-17,83
La Bachata,Manuel Turizo,21,2024-07-10,2023-03-17,85
Kyoto,Omar Courtz,22,2024-07-10,2023-07-14,69
ADIVINO,Myke Towers,23,2024-07-10,2024-04-25,88
offline,Young Miko,24,2024-07-10,2024-04-05,85
CLASSY 101,Feid,25,2024-07-10,2023-12-01,82
Cúrame,Rauw Alejandro,26,2024-07-10,2021-12-10,81
Feliz Cumpleaños Ferxxo,Feid,27,2024-07-10,2022-09-14,82
BBY BOO - REMIX,iZaak,28,2024-07-10,2024-03-27,83
TU$$I (with Dei V),YOVNGCHIMI,29,2024-07-10,2023-12-08,76
Columbia,Quevedo,30,2024-07-10,2023-07-07,83
Morena,Beéle,31,2024-07-10,2023-11-09,72
Dame Un Break,Rawayana,32,2024-07-10,2023-09-21,62
LA INOCENTE,Mora,33,2024-07-10,2022-04-01,80
LA RANGER (feat. Myke Towers),The Academy: Segunda Misión,34,2024-07-10,2024-03-28,78
El Merengue,Marshmello,35,2024-07-10,2023-11-03,80
Corazon,Eusebio,36,2024-07-10,2024-06-21,53
Binikini,Rawayana,37,2024-07-10,2023-09-21,64
LA FALDA,Myke Towers,38,2024-07-10,2023-09-18,85
Normal,Feid,39,2024-07-10,2022-09-14,80
Please Please Please,Sabrina Carpenter,40,2024-07-10,2024-06-06,98
Espresso,Sabrina Carpenter,41,2024-07-10,2024-04-12,99
LA CANCIÓN,J Balvin,42,2024-07-10,2019-06-28,83
SI NO ES CONTIGO,Cris Mj,43,2024-07-10,2024-05-23,88
Una Vida Pasada,Camilo,44,2024-07-10,2024-05-23,75
MIENTRAS ME CURO DEL CORA,KAROL G,45,2024-07-10,2023-02-24,80
CARACAS EN EL 2000,ELENA ROSE,46,2024-07-10,2023-10-26,63
PROVENZA,KAROL G,47,2024-07-10,2023-02-24,81
Feriado,Rawayana,48,2024-07-10,2023-09-21,60
Me Rehúso,Danny Ocean,49,2024-07-10,2019-03-22,79
Like Crazy,Jimin,50,2024-07-10,2023-03-24,88
