titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
"FILHA DO DEPUTADO - MC IG, MC Ryan SP, Poze do Rodo e Oruam (GR6 Explode) DJ Glenner e Daltin Beat",GR6 EXPLODE,1,2024-07-10,2024-06-26,11769844
"MÓ TEMPÃO QUE TU NÃO FALA COMIGO - Oruam, RYAN SP, IG, Don Juan, PH, Vulgo FK, Paiva, Luuky, Kotim",Mainstreet Records,2,2024-07-10,2024-07-02,2649116
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,3,2024-07-10,2024-06-28,13521294
"[LANCE DE ESCOLA 03] Só um Beijo - Kysha e Mine, Stefan Baby",Kysha e Mine,4,2024-07-10,2024-07-06,646978
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,5,2024-07-10,2024-07-04,41928076
GUSTTAVO LIMA - MORAR NESSE MOTEL (VÍDEO OFICIAL),Gusttavo Lima Oficial,6,2024-07-10,2024-06-28,11766145
"300 No 7 - MC GP, MC J VILA,  MC LUUKY (DJ YURI PEDRADA) [VIDEOCLIPE OFICIAL] ativei o modo esquece$",MC GP,7,2024-07-10,2024-07-04,578534
Arrasada,Heitor Costa - Topic,8,2024-07-10,2024-07-04,428429
LISA - ROCKSTAR (Official Music Video),LLOUD Official,9,2024-07-10,2024-06-28,97008439
Valquiria Santana - Sempre Volto - Clipe Oficial,Valquiria Santana,10,2024-07-10,2024-07-09,263069
WIU - Rainha da Finesse,30PRAUM,11,2024-07-10,2024-07-04,979579
"[LANCE DE ESCOLA 02] Conselho da Mine - Kysha e Mine, Stefan Baby",Kysha e Mine,12,2024-07-10,2024-07-02,918918
Lud Session #4 feat. IZA (Live),LUDMILLA,13,2024-07-10,2024-06-26,6548657
"[LANCE DE ESCOLA 4] Recuperação - Kysha e Mine, Stefan Baby",Kysha e Mine,14,2024-07-10,2024-07-09,229416
"Amado Batista - A SAUDADE TÁ DOENDO - DVD ""Pétala""",Amado Batista,15,2024-07-10,2024-07-04,650685
♪ Scooby Dark (Scooby Doo AU) | Último Mistério | AniRap,AniRap,16,2024-07-10,2024-07-07,346401
"[LANCE DE ESCOLA 01] Lance de Escola - Kysha e Mine, Stefan Baby",Kysha e Mine,17,2024-07-10,2024-06-29,1661896
Yasmin Santos - Nem a Pau (Ao Vivo) ft. Simone Mendes,YasminSantosVEVO,18,2024-07-10,2024-06-28,3599569
♫ O FIM DA SELEÇÃO - BRASIL ELIMINADO DA COPA AMÉRICA | Paródia Taylor Swift - Blank Space,FutParódias,19,2024-07-10,2024-07-08,452893
Tu és + Águas Purificadoras (Ao Vivo),fhop music - Topic,20,2024-07-10,2024-07-01,207689
Te Maceto Depois Do Baile,DJ Zigão - Topic,21,2024-07-10,2024-07-03,504460
"EVANGELHO DO DIA 09/07/2024 | Mt 9, 32-38 | @PadreManzottiOficial",Padre Reginaldo Manzotti,22,2024-07-10,2024-07-09,116332
"Fred & Fabrício, Traia Véia - Poder de Mentir (Clipe Oficial)",Fred e Fabrício,23,2024-07-10,2024-06-28,8797921
"SENTA NA 45 - BOYUGO , ARTHURZINHO BATEDEIRA , ESCAMA REELS , DANILO CHATINHO , GUGU OFC #bregafunk",Boyugo,24,2024-07-10,2024-06-24,1074352
Gabriela Rocha & Fernandinho - Yahweh (Ao Vivo),Gabriela Rocha,25,2024-07-10,2024-07-09,176983
"DUZZ - ""PATRÍCIO'S"" (PROD. RUBRO)",duzz,26,2024-07-10,2024-07-05,256507
1. Tz da Coronel - Acordado eu sonho (Clipe Oficial),Tz da Coronel,27,2024-07-10,2024-06-28,1000864
Herobrine (Minecraft) - Sua Pele & Olhos Brancos | M4rkim,M4rkim,28,2024-07-10,2024-07-07,258270
♫ E SE OS JOGADORES FOSSEM EMOÇÕES DE DIVERTIDA MENTE? | Paródia Lil Boo Thang - Paul Russell,FutParódias,29,2024-07-10,2024-07-05,472523
"MTG Não Fosse Tão Tarde - Lou Garcia, DJ Luan Gomes",Lou Garcia,30,2024-07-10,2024-07-04,417923
