titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,1,2024-07-10,2024-07-04,41928076
Tauba Tauba | Bad Newz | Vicky Kaushal | Triptii Dimri | Karan Aujla | In cinemas 19th July,Saregama Music,2,2024-07-10,2024-07-02,37925861
Eminem - Tobey feat. Big Sean & BabyTron (Official Music Video),Lyrical Lemonade,3,2024-07-10,2024-07-08,5038187
IDK HOW (MUSIC VIDEO) KARAN AUJLA  | FOUR ME EP  | LATEST PUNJABI SONGS 2024,Rehaan Records,4,2024-07-10,2024-06-27,19126965
@Nijjar - Kneel (Official Music Video) Nijjar Ft. Gurlez Akhtar | New Punjabi Song 2024,NIJJAR,5,2024-07-10,2024-07-08,2504750
Shubh - Be Mine (Official Audio),SHUBH,6,2024-07-10,2024-07-05,2615626
60 Pound (Official Video) Gulab Sidhu | Gurlez Akhtar | Jang Dhillon | Iris Music | New Punjabi Song,Leaf Records,7,2024-07-10,2024-07-04,4362358
AKHIYAN - HARKIRAT SANGHA (OFFICIAL MUSIC VIDEO) | DARK CIRCLE DE JAYI NA,Harkirat Sangha,8,2024-07-10,2024-07-06,925500
WHO THEY?,Karan Aujla - Topic,9,2024-07-10,2024-06-26,3122570
LISA - ROCKSTAR (Official Music Video),LLOUD Official,10,2024-07-10,2024-06-28,97008439
"Quavo, Lana Del Rey - Tough (Official Video)",QuavoVEVO,11,2024-07-10,2024-07-03,5571354
Lost x Trappo - OT (Clip Officiel),Lost,12,2024-07-10,2024-07-09,32039
"Stefflon Don - Dilemma ft Sidhu Moose Wala, GuiltyBeatz & Steel Banglez (Official Music Video)",Stefflon Don,13,2024-07-10,2024-06-24,9443720
Air Hostess,Arjan Dhillon - Topic,14,2024-07-10,2024-07-04,327071
Someone You Loved,Lewis Capaldi - Topic,15,2024-07-10,2024-06-27,1275777
Kassam (Official Video) Garry Sandhu | New Punjabi Song 2024 | Fresh Media Records,Fresh Media Records,16,2024-07-10,2024-07-04,2554568
Teddy Swims - Lose Control (Lyrics),Creative Chaos,17,2024-07-10,2024-07-04,1058279
Khokhe (Official Video) Mankirt Aulakh | Pranjal Dahiya | Simar Kaur | Punjabi Song,Mankirat Aulakh,18,2024-07-10,2024-07-03,8680377
Tommy Richman - MILLION DOLLAR BABY (Official Music Video),Tommy Richman,19,2024-07-10,2024-07-05,1914245
Lies Lies Lies,Morgan Wallen - Topic,20,2024-07-10,2024-07-04,819367
(여자)아이들((G)I-DLE) - '클락션 (Klaxon)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),21,2024-07-10,2024-07-08,11132196
Post Malone ft. Blake Shelton - Pour Me A Drink (Official Video),PostMaloneVEVO,22,2024-07-10,2024-06-24,8893812
BABYMONSTER - ‘FOREVER’ M/V,BABYMONSTER,23,2024-07-10,2024-06-30,53449990
Thank God (Official Video) Jordan Sandhu | Latest Punjabi Songs 2024 |  New Punjabi Songs 2024,Jordan Sandhu,24,2024-07-10,2024-06-25,2706726
BossMan Dlow - PJ Ft. Lil Baby (Official Video),BossMan Dlow,25,2024-07-10,2024-07-09,746592
WAKE UP CALL (Official Video) Gill Madhipuriya ft Prem Dhillon | Inder Dhammu,Prem Dhillon,26,2024-07-10,2024-06-25,1942798
The Kid LAROI - GIRLS (Official Video),TheKidLAROIVEVO,27,2024-07-10,2024-06-28,3263655
Filter | Official Song | Gulab Sidhu | Sukh Lotey | Geet Goraya | New Punjabi Songs 2024 |,Red Leaf Music,28,2024-07-10,2024-06-21,13412094
AMBRAN DE HAANI (Official Video)| Ranjit Bawa | Sweetaj Brar | Black Virus | Sukh Aamad |True Makers,Ranjit Bawa Music,29,2024-07-10,2024-07-05,400748
ACTIVE - SUKHA | PRODGK (OFFICIAL VIDEO),SUKHA,30,2024-07-10,2024-06-28,654150
