titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
LUNA DILE - GINO MELLA FT JULIANNO SOSA,Gino Mella,1,2024-07-10,2024-07-05,558414
JERE KLEIN x FRAN C - MI AUTOMOVIL (VIDEO OFICIAL),Fran C,2,2024-07-10,2024-06-28,2062392
"Kidd Voodoo, La Joaqui, Dysbit - Instinto (Video Oficial)",Kidd Voodoo,3,2024-07-10,2024-07-04,436285
Cris MJ - No Ponga Excusas (Video Oficial),Cris MJ,4,2024-07-10,2024-06-21,8361447
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,5,2024-07-10,2024-06-28,16906779
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,6,2024-07-10,2024-06-28,22023765
KAROL G - Si Antes Te Hubiera Conocido (Official Video),KarolGVEVO,7,2024-07-10,2024-06-21,50300408
CORTE SERIA - KING SAVAGGE x LUCKY BROWN (PROD. ADAN LA AMENAZA) [VIDEO OFICIAL],King Savagge,8,2024-07-10,2024-07-05,189125
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,9,2024-07-10,2024-07-04,41928076
XIPETA - El Jordan 23 x @JOSSIEAIR x @gabitoberettalpf Prod By BigCvyu x LewisSomes (OfficialVideo),El Jordan 23,10,2024-07-10,2024-06-28,807874
Pablo Chill-E - GITANA ft Bryartz (prod. Savage Kreamly),Pablo Chill-E,11,2024-07-10,2024-06-19,2873486
LISA - ROCKSTAR (Official Music Video),LLOUD Official,12,2024-07-10,2024-06-28,97008439
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,13,2024-07-10,2024-07-02,2861523
JAIRO VERA - CASUALIDAD,Jairo Vera TV,14,2024-07-10,2024-06-29,410070
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,15,2024-07-10,2024-06-25,7950384
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,16,2024-07-10,2024-07-02,2504945
Se le Ve Bomba 💣 - Bayron Fire,BAYRON FIRE,17,2024-07-10,2024-06-30,236669
Te Gusto Este Bambini,1.7mrto - Topic,18,2024-07-10,2024-06-24,558472
"Tiago PZK, Manuel Turizo - De Vuelta (Video Oficial)",Tiago PZK,19,2024-07-10,2024-07-05,1176905
TWICE「DIVE」Music Video,TWICE JAPAN OFFICIAL YouTube Channel,20,2024-07-10,2024-07-09,2069447
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,21,2024-07-10,2024-06-28,13521294
PORSHE - BALBI EL CHAMAKO x EL BAI X MARCIANEKE (prod.by KidGenius x AndrehBred),Balbi El Chamako Oficial,22,2024-07-10,2024-06-27,280934
"SLAYTER, HADES66, BRYANT MYERS - 9x19 remix 🥷 (Official Video)",SLAYTER,23,2024-07-10,2024-07-09,467223
JULIANO CHIEFF - CLAP FEAT PABLO CHILL-E + IL NENE DE ORO (VIDEO OFICIAL),Juliano Chieff Tv,24,2024-07-10,2024-06-25,324599
"La China, L-Gante, Jairo Vera - Llora Como Un Arrepentido [feat. Gino Mella] (Video Oficial)",La China,25,2024-07-10,2024-07-03,902411
"Tiago PZK, Duki - RCP (Visualizer)",Tiago PZK,26,2024-07-10,2024-07-05,914371
지민 (Jimin) 'Smeraldo Garden Marching Band (feat. Loco)' Official Track Video,HYBE LABELS,27,2024-07-10,2024-06-28,14808143
JC REYES x YOVNGCHIMI x SLAYTER - 2xLL,LOS GREEN LANTERS,28,2024-07-10,2024-07-04,1057113
"Tiago PZK, Nicki Nicole - Cristal (Visualizer)",Tiago PZK,29,2024-07-10,2024-07-05,657140
Gigi Méndez - Somos Vinotinto (Video Oficial),Gigi Méndez,30,2024-07-10,2024-06-29,2468468
