titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,1,2024-07-10,2024-07-04,41928076
Eminem - Tobey feat. Big Sean & BabyTron (Official Music Video),Lyrical Lemonade,2,2024-07-10,2024-07-08,5038187
Yungeen Ace - Game Over (Official Music Video),Yungeen Ace,3,2024-07-10,2024-06-28,7773939
BossMan Dlow - PJ Ft. Lil Baby (Official Video),BossMan Dlow,4,2024-07-10,2024-07-09,746592
MINIMI (Video Oficial) - Bryan Martínez,Bryan Martínez,5,2024-07-10,2024-07-04,5139753
Tommy Richman - MILLION DOLLAR BABY (Official Music Video),Tommy Richman,6,2024-07-10,2024-07-05,1914245
"Quavo, Lana Del Rey - Tough (Official Video)",QuavoVEVO,7,2024-07-10,2024-07-03,5571354
Yungeen Ace - Do It (Official Music Video),Yungeen Ace,8,2024-07-10,2024-06-23,8285015
LISA - ROCKSTAR (Official Music Video),LLOUD Official,9,2024-07-10,2024-06-28,97008439
Lies Lies Lies,Morgan Wallen - Topic,10,2024-07-10,2024-07-04,819367
Thunder Bringer,Jorge Rivera-Herrans - Topic,11,2024-07-10,2024-07-03,1036043
Scylla,Jorge Rivera-Herrans - Topic,12,2024-07-10,2024-07-03,933697
"Rob49 - ""Homebody Remix"" Feat. Moneybagg Yo, Bossman Dlow, Skilla Baby (Music Video)",ROB49,13,2024-07-10,2024-07-05,640842
Sexyy Red ft. Chief Keef - Bow Bow Bow (F My Baby Dad) (Official Video),Sexyy Red,14,2024-07-10,2024-06-28,2782552
Lil Mabu - BANG! BANG! (XXL DISS) (Official Music Video),Lil Mabu,15,2024-07-10,2024-06-27,3621056
Different Beast,Jorge Rivera-Herrans - Topic,16,2024-07-10,2024-07-03,877733
Tauba Tauba | Bad Newz | Vicky Kaushal | Triptii Dimri | Karan Aujla | In cinemas 19th July,Saregama Music,17,2024-07-10,2024-07-02,37925861
Megan Thee Stallion - Mamushi (feat. Yuki Chiba) [Official Audio],Megan Thee Stallion,18,2024-07-10,2024-06-28,4267532
JT & Jeezy - OKAY (Official Video),JTWORLD,19,2024-07-10,2024-06-28,1802282
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,20,2024-07-10,2024-06-25,21775531
Cody Johnson - Dirt Cheap (Official Music Video),Cody Johnson,21,2024-07-10,2024-06-28,1667432
Lil Durk - Went Hollywood For A Year,LilDurkVEVO,22,2024-07-10,2024-06-28,2702355
Teddy Swims - Lose Control (Lyrics),Creative Chaos,23,2024-07-10,2024-07-04,1058279
Post Malone ft. Blake Shelton - Pour Me A Drink (Official Video),PostMaloneVEVO,24,2024-07-10,2024-06-24,8893812
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,25,2024-07-10,2024-07-02,2861523
OTAKU HOT GIRL (Japan BTS),Megan Thee Stallion,26,2024-07-10,2024-07-03,1626066
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,27,2024-07-10,2024-06-28,22023765
42 Dugg - Since When (Feat. EST Gee) [Official Music Video],42DuggVEVO,28,2024-07-10,2024-07-05,522454
mgk - Sun to Me (Zach Bryan Cover) [Live from Cheshire Cottage],mgk,29,2024-07-10,2024-06-26,2884411
Babyfxce E - PTP [Official Music Video],Babyfxce E,30,2024-07-10,2024-07-04,270901
