titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
ファタール / GEMN - Fatal / GEMN,キタニタツヤ / Tatsuya Kitani,1,2024-07-10,2024-07-05,2875829
BE:FIRST X ATEEZ / Hush-Hush -Music Video-,BE:FIRST Official,2,2024-07-10,2024-07-01,3931483
テレビ朝日開局65周年記念イベント「ThePerformance」点描の唄（Mrs. GREEN APPLE×NiziU),Mrs. GREEN APPLE,3,2024-07-10,2024-07-08,1012338
Mrs. GREEN APPLE「ライラック」MV - TVアニメ『忘却バッテリー』Ver. -,Mrs. GREEN APPLE,4,2024-07-10,2024-07-04,1601265
Snow Man「君は僕のもの」Music Video YouTube Ver.,Snow Man,5,2024-07-10,2024-06-26,16230405
【Ado】ルル (RuLe),Ado,6,2024-07-10,2024-07-05,2538260
TWICE「DIVE」Music Video,TWICE JAPAN OFFICIAL YouTube Channel,7,2024-07-10,2024-07-09,2069447
UNDEAD,YOASOBI - Topic,8,2024-07-10,2024-06-30,3580428
Mrs. GREEN APPLE「アポロドロス」Official Lyric Video,Mrs. GREEN APPLE,9,2024-07-10,2024-07-03,1567485
JEONGHAN X WONWOO (SEVENTEEN) - Last night (Acoustic Ver.) / THE FIRST TAKE,THE FIRST TAKE,10,2024-07-10,2024-07-08,850604
MAZZEL / Seaside Story -Music Video-,MAZZEL,11,2024-07-10,2024-07-05,624995
Snow Man「BREAKOUT」Music Video,Snow Man,12,2024-07-10,2024-06-19,50608094
MY FIRST STORY × HYDE「夢幻」Music Video,Sony Music (Japan),13,2024-07-10,2024-06-23,7132168
シカ色デイズ,Anko Koshi (CV: Rui Tanabe) - Topic,14,2024-07-10,2024-07-07,762693
aespa 'Hot Mess' MV,SMTOWN,15,2024-07-10,2024-07-03,5982910
ホムンクルス,Vaundy - Topic,16,2024-07-10,2024-07-04,961214
BABYMONSTER - ‘FOREVER’ M/V,BABYMONSTER,17,2024-07-10,2024-06-30,53449990
(여자)아이들((G)I-DLE) - '클락션 (Klaxon)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),18,2024-07-10,2024-07-08,11132196
【Live】Creepy Nuts - Bling-Bang-Bang-Born(Live at 国立代々木競技場 第一体育館),Creepy Nuts,19,2024-07-10,2024-06-29,1625154
『星街の駅で』acoustic ver. 優里 × tuki.,優里ちゃんねる【公式】,20,2024-07-10,2024-07-07,422221
TXT (투모로우바이투게더) 'We’ll Never Change' Official MV,HYBE LABELS,21,2024-07-10,2024-07-02,2308448
"BAD HOP THE FINAL at 東京ドーム - High Land feat. Tiji Jojo, Vingo & YZERR",BAD HOP,22,2024-07-10,2024-07-06,247130
LISA - ROCKSTAR (Official Music Video),LLOUD Official,23,2024-07-10,2024-06-28,97008439
"BAD HOP THE FINAL at 東京ドーム - Last Party Never End feat. Tiji Jojo, YZERR, Yellow Pato & Vingo",BAD HOP,24,2024-07-10,2024-07-08,192324
モーニング娘。'24『最KIYOU』Promotion Edit,モーニング娘。,25,2024-07-10,2024-07-07,388932
Da-iCE - I wonder / THE FIRST TAKE,THE FIRST TAKE,26,2024-07-10,2024-06-26,4150898
Sharon,OFFICIAL HIGE DANDISM - Topic,27,2024-07-10,2024-07-02,648171
EYES ON YOU,Kana Nishino - Topic,28,2024-07-10,2024-07-04,277035
NewJeans (뉴진스) ‘Supernatural’ Official MV (Part.2),HYBE LABELS,29,2024-07-10,2024-07-04,3890171
ASIAN KUNG-FU GENERATION - Haruka Kanata / THE FIRST TAKE,THE FIRST TAKE,30,2024-07-10,2024-07-05,932495
