titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
@ClarentKP - La de Bassy,Clarent,1,2024-07-10,2024-07-04,386753
"SLAYTER, HADES66, BRYANT MYERS - 9x19 remix 🥷 (Official Video)",SLAYTER,2,2024-07-10,2024-07-09,467223
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,3,2024-07-10,2024-06-28,22023765
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,4,2024-07-10,2024-07-04,41928076
Luar La L - Perdida (Official Video),Luar La L ,5,2024-07-10,2024-06-28,2589644
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,6,2024-07-10,2024-06-25,7950384
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,7,2024-07-10,2024-06-25,21775531
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,8,2024-07-10,2024-07-02,2861523
"Brytiago, Jay Wheleer & iZaak - AURA [Video Oficial]",BrytiagoTV,9,2024-07-10,2024-06-28,3187381
KEY-KEY FT OZUNA - TENGO UN PLAN REMIX (VÍDEO OFICIAL),keykey oficial,10,2024-07-10,2024-06-13,11595233
CDobleta - Brillar (Official Video),CDOBLETA,11,2024-07-10,2024-06-28,552050
TIVI GUNZ x OZUNA x OMAR COURTZ - TU VA DOBLA (REMIX) (VIDEO OFICIAL),Tivi Gunz,12,2024-07-10,2024-07-10,110969
SLAYTER x YOVNGCHIMI - inmortal 🪦 (Official Video),SLAYTER,13,2024-07-10,2024-06-21,1144080
OHNANA - Kapo (Video Oficial),Kapo,14,2024-07-10,2024-06-07,10569329
"⁠@Ankhal ,​⁠@PRESSURE9x19 - Los Pulgares 👍🏽 (OFFICIAL VIDEO) Kiss Of Judas 🏴‍☠️x 👹",Ankhal,15,2024-07-10,2024-06-24,493713
Eminem - Tobey feat. Big Sean & BabyTron (Official Music Video),Lyrical Lemonade,16,2024-07-10,2024-07-08,5038187
LISA - ROCKSTAR (Official Music Video),LLOUD Official,17,2024-07-10,2024-06-28,97008439
Dei V - PPV ft. De La Ghetto (Official Visualizer),Dei V,18,2024-07-10,2024-06-14,1167837
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,19,2024-07-10,2024-07-02,2504945
"Residente, Jessie Reyez - El Encuentro (LIVE Session)",ResidenteVEVO,20,2024-07-10,2024-07-04,574389
JC REYES x YOVNGCHIMI x SLAYTER - 2xLL,LOS GREEN LANTERS,21,2024-07-10,2024-07-04,1057133
Ivy Queen - De Luto  (Video Oficial),Ivy Queen,22,2024-07-10,2024-07-04,212436
Stray Kids ＜ATE＞ Mashup Video,JYP Entertainment,23,2024-07-10,2024-07-10,585953
"iZaak, Anuel AA - XQCP (Official Video)",iZaak,24,2024-07-10,2024-06-07,6218625
LISA - ROCKSTAR Dance Practice Video,LLOUD Official,25,2024-07-10,2024-07-09,4396825
Lupillo Rivera Ft Jose Reyes - FONDO FONDO,Jose Reyes,26,2024-07-10,2024-07-03,554526
"FARIANA, Oro Solido - El Caballito",FARIANA ,27,2024-07-10,2024-06-07,15877831
"Noriel, Baby Rasta - Otros Tiempos (Intro - Visualizer)",NorielVEVO,28,2024-07-10,2024-06-28,414511
Zhamira Zambrano - Bienvenida (Official Video),Zhamira Zambrano,29,2024-07-10,2024-06-13,6420901
Dei V - VNKLF (Official Video),Dei V,30,2024-07-10,2024-06-21,768188
