titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
Gigi Méndez - Somos Vinotinto (Video Oficial),Gigi Méndez,1,2024-07-10,2024-06-29,2468468
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,2,2024-07-10,2024-06-25,21775531
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,3,2024-07-10,2024-06-25,7950384
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,4,2024-07-10,2024-07-02,2504945
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,5,2024-07-10,2024-06-28,22023765
Guayabo Tech,Manuel Santos - Topic,6,2024-07-10,2024-06-22,246645
"El Alfa ""El Jefe"" x Nfasis - ESTE (Video Oficial)",ElAlfaElJefeTV,7,2024-07-10,2024-07-04,4362865
LISA - ROCKSTAR (Official Music Video),LLOUD Official,8,2024-07-10,2024-06-28,97008439
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,9,2024-07-10,2024-06-28,13521294
Kapo – Ohnana [Letra],Latin Union,10,2024-07-10,2024-07-04,454709
"SLAYTER, HADES66, BRYANT MYERS - 9x19 remix 🥷 (Official Video)",SLAYTER,11,2024-07-10,2024-07-09,467223
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,12,2024-07-10,2024-07-04,41928076
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,13,2024-07-10,2024-07-02,2861523
Miguel Bueno - Fan De Tus Ojos | Video Oficial,Miguel Bueno,14,2024-07-10,2024-07-05,1384110
Greeicy - A Veces A Besos (Official Video),GreeicyVEVO,15,2024-07-10,2024-06-21,6972018
KAROL G - Si Antes Te Hubiera Conocido Remix - Dj Francisco Freites,Dj Francisco Freites,16,2024-07-10,2024-06-24,455416
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,17,2024-07-10,2024-06-28,16906779
Romeo Santos - Imitadora (Letra/Lyrics),Eterna Vida,18,2024-07-10,2024-07-02,758505
Junior Caldera - Roba Mario´ 🧑‍🌾🧑‍🌾😈😈 | (Video Oficial),Junior Caldera,19,2024-07-10,2024-06-26,950762
Hay Lupita,Lomiiel - Topic,20,2024-07-10,2024-06-27,1345176
"Alex Ponce, Lasso, Sebastian Llosa - Ve y Diles V2 (Remix) [Video Oficial]",Alex Ponce,21,2024-07-10,2024-06-28,1073581
INSANOS 🌹 Angi Fire ft Piky (VIDEO OFICIAL❤️),Dejavu FF,22,2024-07-10,2024-06-29,1145261
LISA - ROCKSTAR Dance Practice Video,LLOUD Official,23,2024-07-10,2024-07-09,4396825
Servando & Florentino - Lunares (Video Oficial),Servando y Florentino,24,2024-07-10,2024-06-28,622153
TWICE「DIVE」Music Video,TWICE JAPAN OFFICIAL YouTube Channel,25,2024-07-10,2024-07-09,2069447
@ClarentKP - La de Bassy,Clarent,26,2024-07-10,2024-07-04,386753
지민 (Jimin) 'Smeraldo Garden Marching Band (feat. Loco)' Official Track Video,HYBE LABELS,27,2024-07-10,2024-06-28,14808143
Luar La L - Perdida (Official Video),Luar La L ,28,2024-07-10,2024-06-28,2589644
Trueno - REAL GANGSTA LOVE (Letra),magnificent,29,2024-07-10,2024-06-18,4604797
[BANGTAN BOMB] Jung Kook Unwinds in Qatar - BTS (방탄소년단),BANGTANTV,30,2024-07-10,2024-07-09,1675544
