titulo,id,url,lanzamiento,popularidad
Something Just Like This,2998843,https://genius.com/The-chainsmokers-and-coldplay-something-just-like-this-lyrics,N/A,3976838
Viva La Vida,49192,https://genius.com/Coldplay-viva-la-vida-lyrics,N/A,3706636
The Scientist,77594,https://genius.com/Coldplay-the-scientist-lyrics,N/A,1954950
Yellow,77782,https://genius.com/Coldplay-yellow-lyrics,N/A,1742135
Fix You,79647,https://genius.com/Coldplay-fix-you-lyrics,N/A,1431977
Hymn for the Weekend,2353271,https://genius.com/Coldplay-hymn-for-the-weekend-lyrics,N/A,1004838
Sparks,77781,https://genius.com/Coldplay-sparks-lyrics,N/A,644647
A Sky Full of Stars,387508,https://genius.com/Coldplay-a-sky-full-of-stars-lyrics,N/A,615559
Adventure of a Lifetime,2349494,https://genius.com/Coldplay-adventure-of-a-lifetime-lyrics,N/A,554153
Everglow,2378782,https://genius.com/Coldplay-everglow-lyrics,N/A,508169
Clocks,53753,https://genius.com/Coldplay-clocks-lyrics,N/A,502851
Paradise,55882,https://genius.com/Coldplay-paradise-lyrics,N/A,469537
Magic,373966,https://genius.com/Coldplay-magic-lyrics,N/A,412554
Orphans,4950030,https://genius.com/Coldplay-orphans-lyrics,N/A,327880
Daddy,4961971,https://genius.com/Coldplay-daddy-lyrics,N/A,245909
My Universe,7026181,https://genius.com/Coldplay-and-bts-my-universe-lyrics,N/A,226290
Everyday Life,4961983,https://genius.com/Coldplay-everyday-life-lyrics,N/A,218280
Higher Power,6737626,https://genius.com/Coldplay-higher-power-lyrics,N/A,218150
Trouble,77783,https://genius.com/Coldplay-trouble-lyrics,N/A,204568
In My Place,77596,https://genius.com/Coldplay-in-my-place-lyrics,N/A,201031
