nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
REAL GANGSTA LOVE,Trueno,1,2024-07-10,2024-05-23,91
Hoy,Valentino Merlo,2,2024-07-10,2024-05-22,77
"Perdonarte, ¿Para Qué?",Los Ángeles Azules,3,2024-07-10,2024-05-23,82
Cuando Te Vi | CROSSOVER #5,Big One,4,2024-07-10,2024-06-27,77
Tu Foto - En Vivo,Q' Lokura,5,2024-07-10,2024-05-16,75
SAN TURRONA,La Joaqui,6,2024-07-10,2024-05-16,74
Ojos Verdes,Nicki Nicole,7,2024-07-10,2024-04-24,79
IMAN (Two Of Us),Maria Becerra,8,2024-07-10,2024-05-16,77
La_Playlist.mpeg,Emilia,9,2024-07-10,2024-06-20,75
APAGA EL CEL,FloyyMenor,10,2024-07-10,2024-05-17,85
Un Besito Más,Salastkbron,11,2024-07-10,2024-03-14,76
Piel,Tiago PZK,12,2024-07-10,2024-07-04,60
LUNA,Feid,13,2024-07-10,2023-12-01,90
Santa,Rvssian,14,2024-07-10,2024-04-03,84
Tal Para Cual,Salastkbron,15,2024-07-10,2024-01-11,73
HOY,The La Planta,16,2024-07-10,2024-05-16,76
TATTOO,elaggume,17,2024-07-10,2024-05-02,72
Si Antes Te Hubiera Conocido,KAROL G,18,2024-07-10,2024-06-21,90
Gata Only,FloyyMenor,19,2024-07-10,2024-02-02,96
Loquita - Remix,ECKO,20,2024-07-10,2024-05-15,70
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",Bhavi,21,2024-07-10,2024-04-16,80
Mil Preguntas,Q' Lokura,22,2024-07-10,2024-04-11,72
SOLTERO,elaggume,23,2024-07-10,2024-05-30,69
QUE ME FALTE TODO,Luck Ra,24,2024-07-10,2024-02-02,70
ROZE | DJ TAO Turreo Sessions #22,DJ Tao,25,2024-07-10,2023-11-23,73
Mil Preguntas,The La Planta,26,2024-07-10,2024-03-07,73
Tumba,Thomy DJ,27,2024-07-10,2023-08-19,72
SI NO ES CONTIGO,Cris Mj,28,2024-07-10,2024-05-23,88
HOLA PERDIDA REMIX,Luck Ra,29,2024-07-10,2024-05-31,78
30 Grados,El Turko,30,2024-07-10,2024-01-25,61
HOLA PERDIDA,Luck Ra,31,2024-07-10,2024-02-02,71
SINVERGÜENZA - con Angela Torres,Emanero,32,2024-07-10,2023-12-05,72
Por Mil Noches,Airbag,33,2024-07-10,2013-11-27,72
CEO,Mesita,34,2024-07-10,2024-06-18,71
offline,Young Miko,35,2024-07-10,2024-04-05,85
La_Original.mp3,Emilia,36,2024-07-10,2023-11-03,76
UH LA LA LA,DobleP,37,2024-07-10,2024-03-21,71
M.A.I,Milo j,38,2024-07-10,2023-11-30,79
Una Foto Remix (feat. Emilia),Mesita,39,2024-07-10,2024-01-05,80
Cierre Rkt,Eze Remix,40,2024-07-10,2024-03-20,69
BBY BOO - REMIX,iZaak,41,2024-07-10,2024-03-27,83
WYA REMIX RED,J Abdiel,42,2024-07-10,2024-05-10,80
La Morocha,Luck Ra,43,2024-07-10,2024-02-02,69
SORRY 4 THAT MUCH,Feid,44,2024-07-10,2024-06-07,87
Es un Secreto,Plan B,45,2024-07-10,2010-07-20,84
De Vuelta,Tiago PZK,46,2024-07-10,2024-07-04,66
Un Finde | CROSSOVER #2,Big One,47,2024-07-10,2023-04-04,75
Ya No Vuelvas (Versión Cuarteto),Luck Ra,48,2024-07-10,2024-02-02,67
Una Foto,Mesita,49,2024-07-10,2023-08-15,71
La Bachata,Manuel Turizo,50,2024-07-10,2023-03-17,85
