nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
BIRDS OF A FEATHER,Billie Eilish,1,2024-07-10,2024-05-17,98
Please Please Please,Sabrina Carpenter,2,2024-07-10,2024-06-06,98
Espresso,Sabrina Carpenter,3,2024-07-10,2024-04-12,99
A Bar Song (Tipsy),Shaboozey,4,2024-07-10,2024-05-31,86
MILLION DOLLAR BABY,Tommy Richman,5,2024-07-10,2024-04-26,94
I Had Some Help (Feat. Morgan Wallen),Post Malone,6,2024-07-10,2024-05-10,95
Not Like Us,Kendrick Lamar,7,2024-07-10,2024-05-04,96
"Good Luck, Babe!",Chappell Roan,8,2024-07-10,2024-04-05,94
Beautiful Things,Benson Boone,9,2024-07-10,2024-04-05,90
Too Sweet,Hozier,10,2024-07-10,2024-03-22,89
Houdini,Eminem,11,2024-07-10,2024-05-31,94
Austin (Boots Stop Workin'),Dasha,12,2024-07-10,2024-02-16,91
Stargazing,Myles Smith,13,2024-07-10,2024-05-10,92
Lose Control,Teddy Swims,14,2024-07-10,2023-09-15,90
Stick Season,Noah Kahan,15,2024-07-10,2022-10-14,90
Fortnight (feat. Post Malone),Taylor Swift,16,2024-07-10,2024-04-18,91
LUNCH,Billie Eilish,17,2024-07-10,2024-05-17,95
Pink Skies,Zach Bryan,18,2024-07-10,2024-05-24,89
DEVIL IS A LIE,Tommy Richman,19,2024-07-10,2024-06-14,86
GIRLS,The Kid LAROI,20,2024-07-10,2024-06-28,81
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,21,2024-07-10,2023-08-25,88
Scared To Start,Michael Marcagi,22,2024-07-10,2024-01-12,88
i like the way you kiss me,Artemas,23,2024-07-10,2024-03-19,95
BAND4BAND (feat. Lil Baby),Central Cee,24,2024-07-10,2024-05-23,91
Belong Together,Mark Ambor,25,2024-07-10,2024-02-16,91
Slow It Down,Benson Boone,26,2024-07-10,2024-04-05,89
Cruel Summer,Taylor Swift,27,2024-07-10,2019-08-23,92
Something in the Orange,Zach Bryan,28,2024-07-10,2022-04-22,86
End of Beginning,Djo,29,2024-07-10,2022-09-16,93
NIGHTS LIKE THIS,The Kid LAROI,30,2024-07-10,2023-11-10,84
Riptide,Vance Joy,31,2024-07-10,2014-09-08,84
we can't be friends (wait for your love),Ariana Grande,32,2024-07-10,2024-03-08,90
Last Night,Morgan Wallen,33,2024-07-10,2023-03-03,83
Stumblin' In,CYRIL,34,2024-07-10,2023-11-10,88
The Night We Met,Lord Huron,35,2024-07-10,2015-04-06,88
misses,Dominic Fike,36,2024-07-10,2024-05-03,83
I Can Do It With a Broken Heart,Taylor Swift,37,2024-07-10,2024-04-18,87
CHIHIRO,Billie Eilish,38,2024-07-10,2024-05-17,93
Heading South,Zach Bryan,39,2024-07-10,2019-09-30,85
Lies Lies Lies,Morgan Wallen,40,2024-07-10,2024-07-05,77
HOT TO GO!,Chappell Roan,41,2024-07-10,2023-09-22,88
Saturn,SZA,42,2024-07-10,2024-02-22,90
Tough,Quavo,43,2024-07-10,2024-07-03,83
As It Was,Harry Styles,44,2024-07-10,2022-05-20,91
KEHLANI,Jordan Adetunji,45,2024-07-10,2024-06-24,71
Like That,Future,46,2024-07-10,2024-03-22,90
Thinkin’ Bout Me,Morgan Wallen,47,2024-07-10,2023-03-03,85
greedy,Tate McRae,48,2024-07-10,2023-09-15,89
Evergreen,Richy Mitch & The Coal Miners,49,2024-07-10,2017-05-17,87
28,Zach Bryan,50,2024-07-10,2024-07-04,78
