nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
THE BOX MEDLEY FUNK 2,THE BOX,1,2024-07-10,2024-04-18,83
MTG QUEM NÃO QUER SOU EU,DJ TOPO,2,2024-07-10,2024-05-10,85
Sonho Dela (Cowboy),CountryBeat,3,2024-07-10,2024-05-03,82
Sagrado Profano,Luísa Sonza,4,2024-07-10,2024-05-28,77
Desilusão (MTG) (feat. Loirin Prod),Bruno & Marrone,5,2024-07-10,2024-07-04,72
Mtg Forró e Desmantelo,dj sv,6,2024-07-10,2024-03-20,83
MTG QUERO VER SE VOCÊ TEM ATITUDE,Dj Luan Gomes,7,2024-07-10,2024-04-21,81
EU SOU SENTIMENTO,Luan Santana,8,2024-07-10,2024-06-06,81
Foi Intenso - Ao Vivo,Zé Neto & Cristiano,9,2024-07-10,2024-05-01,82
Gosta De Rua - Ao Vivo,Felipe e Rodrigo,10,2024-07-10,2024-05-03,71
Filha do Deputado,Mc IG,11,2024-07-10,2024-06-25,74
Sorriso no Rosto,Mc IG,12,2024-07-10,2024-05-28,81
Triplex - Ao Vivo,Matheus Fernandes,13,2024-07-10,2024-05-22,77
Me Caiu Tão Bem - Ao Vivo,Murilo Huff,14,2024-07-10,2024-06-06,78
Mtg Quero Te Encontrar,DJ JZ,15,2024-07-10,2024-02-23,82
FALTA DE QUÊ?,Luan Pereira,16,2024-07-10,2024-05-16,82
Morar Nesse Motel,Gusttavo Lima,17,2024-07-10,2024-06-27,74
Deu Moral - Ao Vivo,Zé Neto & Cristiano,18,2024-07-10,2024-04-11,81
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,19,2024-07-10,2024-06-28,81
Digitando,Gustavo Moura & Rafael,20,2024-07-10,2023-06-23,82
Minha Herança,Ana Castela,21,2024-07-10,2024-05-30,78
Eu So Comi Ela uma Vez,Dj VN Maestro,22,2024-07-10,2023-11-19,76
Nosso Primeiro Beijo - Ao Vivo,Gloria Groove,23,2024-07-10,2024-05-30,77
Torre Eiffel - Ao Vivo,Manu,24,2024-07-10,2024-06-14,61
Vamo de Pagodin,Mc Daniel,25,2024-07-10,2024-05-03,76
Haverá Sinais - Ao Vivo,Jorge & Mateus,26,2024-07-10,2024-02-14,81
Dois Tristes - Ao Vivo,Simone Mendes,27,2024-07-10,2024-04-04,74
Anestesiado - Ao Vivo,Murilo Huff,28,2024-07-10,2024-03-28,68
MTG PASSA PASSA PRA EU SARRAR,Mc Livinho,29,2024-07-10,2024-06-06,74
Malvada,TrapLaudo,30,2024-07-10,2024-06-20,69
Aproveita - Ao Vivo,Clayton & Romário,31,2024-07-10,2024-05-31,74
Página De Ex - Ao Vivo,Mari Fernandez,32,2024-07-10,2024-04-26,78
Morena De Goiânia - Ao Vivo,Hugo & Guilherme,33,2024-07-10,2024-03-21,79
Apaguei Pra Todos - Ao Vivo,Ferrugem,34,2024-07-10,2024-04-18,76
Tigrinho,Thiago Brava,35,2024-07-10,2024-02-07,38
Quase Algo - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,36,2024-07-10,2023-12-15,72
Melhor Vibe,MC Ryan SP,37,2024-07-10,2024-03-20,77
Melhor Dia 13 - Era Uma Vez,Marcos Baroni,38,2024-07-10,2024-06-13,77
Aquela Pessoa - Ao Vivo,Henrique & Juliano,39,2024-07-10,2017-07-07,77
TUMBÁTUM,Tropa do Bruxo,40,2024-07-10,2023-12-22,78
Vem Desestressar,MC PH,41,2024-07-10,2024-04-10,74
Amor Na Praia,NATTAN,42,2024-07-10,2024-03-07,77
Vazou Na Braquiara - Ao Vivo,Hugo & Guilherme,43,2024-07-10,2024-03-21,73
Não Fosse Tão Tarde - MTG Remix,Lou Garcia,44,2024-07-10,2024-05-29,70
De Trás Pra Frente - Ao Vivo,Henrique & Juliano,45,2024-07-10,2017-07-07,76
BIRDS OF A FEATHER,Billie Eilish,46,2024-07-10,2024-05-17,98
Piração,Kaká e Pedrinho,47,2024-07-10,2024-04-19,75
CONFISSÕES PT2,Nagalli,48,2024-07-10,2024-04-25,78
Dedo do Meio - Ao Vivo,Murilo Huff,49,2024-07-10,2024-03-28,79
Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,50,2024-07-10,2023-06-22,78
