nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
A Bar Song (Tipsy),Shaboozey,1,2024-07-10,2024-05-31,86
I Had Some Help (Feat. Morgan Wallen),Post Malone,2,2024-07-10,2024-05-10,95
Not Like Us,Kendrick Lamar,3,2024-07-10,2024-05-04,96
Espresso,Sabrina Carpenter,4,2024-07-10,2024-04-12,99
Please Please Please,Sabrina Carpenter,5,2024-07-10,2024-06-06,98
BIRDS OF A FEATHER,Billie Eilish,6,2024-07-10,2024-05-17,98
Beautiful Things,Benson Boone,7,2024-07-10,2024-04-05,90
MILLION DOLLAR BABY,Tommy Richman,8,2024-07-10,2024-04-26,94
"Good Luck, Babe!",Chappell Roan,9,2024-07-10,2024-04-05,94
Lies Lies Lies,Morgan Wallen,10,2024-07-10,2024-07-05,77
Too Sweet,Hozier,11,2024-07-10,2024-03-22,89
Houdini,Eminem,12,2024-07-10,2024-05-31,94
Austin (Boots Stop Workin'),Dasha,13,2024-07-10,2024-02-16,91
28,Zach Bryan,14,2024-07-10,2024-07-04,78
Pink Skies,Zach Bryan,15,2024-07-10,2024-05-24,89
Stargazing,Myles Smith,16,2024-07-10,2024-05-10,92
Stick Season,Noah Kahan,17,2024-07-10,2022-10-14,90
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,18,2024-07-10,2023-08-25,88
Lose Control,Teddy Swims,19,2024-07-10,2023-09-15,90
Last Night,Morgan Wallen,20,2024-07-10,2023-03-03,83
Tough,Quavo,21,2024-07-10,2024-07-03,83
Fortnight (feat. Post Malone),Taylor Swift,22,2024-07-10,2024-04-18,91
Pour Me A Drink (Feat. Blake Shelton),Post Malone,23,2024-07-10,2024-06-21,85
LUNCH,Billie Eilish,24,2024-07-10,2024-05-17,95
Miles On It,Marshmello,25,2024-07-10,2024-05-03,84
GIRLS,The Kid LAROI,26,2024-07-10,2024-06-28,81
Something in the Orange,Zach Bryan,27,2024-07-10,2022-04-22,86
DEVIL IS A LIE,Tommy Richman,28,2024-07-10,2024-06-14,86
BAND4BAND (feat. Lil Baby),Central Cee,29,2024-07-10,2024-05-23,91
Cowgirls (feat. ERNEST),Morgan Wallen,30,2024-07-10,2023-03-03,86
Tobey (feat. Big Sean and BabyTron),Eminem,31,2024-07-10,2024-07-02,81
Scared To Start,Michael Marcagi,32,2024-07-10,2024-01-12,88
Belong Together,Mark Ambor,33,2024-07-10,2024-02-16,91
HOT TO GO!,Chappell Roan,34,2024-07-10,2023-09-22,88
Slow It Down,Benson Boone,35,2024-07-10,2024-04-05,89
Like That,Future,36,2024-07-10,2024-03-22,90
Heading South,Zach Bryan,37,2024-07-10,2019-09-30,85
you look like you love me (feat. Riley Green),Ella Langley,38,2024-07-10,2024-06-21,80
Cruel Summer,Taylor Swift,39,2024-07-10,2019-08-23,92
i like the way you kiss me,Artemas,40,2024-07-10,2024-03-19,95
I Don't Wanna Wait,David Guetta,41,2024-07-10,2024-04-05,90
End of Beginning,Djo,42,2024-07-10,2022-09-16,93
Fast Car,Luke Combs,43,2024-07-10,2023-03-24,85
we can't be friends (wait for your love),Ariana Grande,44,2024-07-10,2024-03-08,90
Gata Only,FloyyMenor,45,2024-07-10,2024-02-02,96
You Proof,Morgan Wallen,46,2024-07-10,2023-03-03,83
Thinkin’ Bout Me,Morgan Wallen,47,2024-07-10,2023-03-03,85
Wind Up Missin’ You,Tucker Wetmore,48,2024-07-10,2024-03-29,82
NIGHTS LIKE THIS,The Kid LAROI,49,2024-07-10,2023-11-10,84
Sun to Me,Zach Bryan,50,2024-07-10,2022-05-20,83
