nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Si Antes Te Hubiera Conocido,KAROL G,1,2024-07-10,2024-06-21,90
Mirame,Blessd,2,2024-07-10,2024-04-17,82
REAL GANGSTA LOVE,Trueno,3,2024-07-10,2024-05-23,91
LUNA,Feid,4,2024-07-10,2023-12-01,90
SORRY 4 THAT MUCH,Feid,5,2024-07-10,2024-06-07,87
Gata Only,FloyyMenor,6,2024-07-10,2024-02-02,96
Es un Secreto,Plan B,7,2024-07-10,2010-07-20,84
Brickell,Feid,8,2024-07-10,2024-04-10,83
PERRO NEGRO,Bad Bunny,9,2024-07-10,2023-10-13,87
Santa,Rvssian,10,2024-07-10,2024-04-03,84
AMARGURA,KAROL G,11,2024-07-10,2023-02-24,86
QLONA,KAROL G,12,2024-07-10,2023-08-10,86
offline,Young Miko,13,2024-07-10,2024-04-05,85
La Bachata,Manuel Turizo,14,2024-07-10,2023-03-17,85
SI NO ES CONTIGO,Cris Mj,15,2024-07-10,2024-05-23,88
Orion,Boza,16,2024-07-10,2024-05-29,79
MI EX TENÍA RAZÓN,KAROL G,17,2024-07-10,2023-08-10,83
Feliz Cumpleaños Ferxxo,Feid,18,2024-07-10,2022-09-14,82
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,19,2024-07-10,2024-05-17,83
Primera Cita,Carin Leon,20,2024-07-10,2023-05-19,84
LA CANCIÓN,J Balvin,21,2024-07-10,2019-06-28,83
CLASSY 101,Feid,22,2024-07-10,2023-12-01,82
LA FALDA,Myke Towers,23,2024-07-10,2023-09-18,85
ADIVINO,Myke Towers,24,2024-07-10,2024-04-25,88
Borro Cassette,Maluma,25,2024-07-10,2015-10-30,81
Normal,Feid,26,2024-07-10,2022-09-14,80
Según Quién,Maluma,27,2024-07-10,2023-08-25,82
Piel,Tiago PZK,28,2024-07-10,2024-07-04,60
Rara Vez,Taiu,29,2024-07-10,2023-02-08,81
Una Vida Pasada,Camilo,30,2024-07-10,2024-05-23,75
Todo Cambió,Camila,31,2024-07-10,2006-01-01,80
Dile,Don Omar,32,2024-07-10,2003-01-01,82
Cúrame,Rauw Alejandro,33,2024-07-10,2021-12-10,81
Columbia,Quevedo,34,2024-07-10,2023-07-07,83
Es Por Ti,Juanes,35,2024-07-10,2002-01-01,78
LA INOCENTE,Mora,36,2024-07-10,2022-04-01,80
A Mí,Rels B,37,2024-07-10,2019-02-21,80
MOJABI GHOST,Tainy,38,2024-07-10,2023-06-29,80
Mamichula - con Nicki Nicole,Trueno,39,2024-07-10,2020-07-23,80
Desesperados,Rauw Alejandro,40,2024-07-10,2021-12-10,82
Ya No Somos Ni Seremos,Christian Nodal,41,2024-07-10,2022-02-18,81
El Merengue,Marshmello,42,2024-07-10,2023-11-03,80
Tiroteo - Remix,Marc Seguí,43,2024-07-10,2021-04-01,80
Por Que Te Demoras?,Plan B,44,2024-07-10,2010-07-20,76
La Curiosidad,Jay Wheeler,45,2024-07-10,2020-06-12,81
El Perdedor,Aventura,46,2024-07-10,2006-12-19,78
Ohnana,Kapo,47,2024-07-10,2024-06-06,75
Si Estuviésemos Juntos,Bad Bunny,48,2024-07-10,2018-12-23,79
La Diabla,Xavi,49,2024-07-10,2023-11-30,86
Please Please Please,Sabrina Carpenter,50,2024-07-10,2024-06-06,98
