nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Si Antes Te Hubiera Conocido,KAROL G,1,2024-07-10,2024-06-21,90
Goteras,Omar Montes,2,2024-07-10,2024-06-27,74
REAL GANGSTA LOVE,Trueno,3,2024-07-10,2024-05-23,91
BADGYAL,SAIKO,4,2024-07-10,2024-04-26,83
LA REINA,Lola Indigo,5,2024-07-10,2024-06-13,76
Potra Salvaje - Hard Remix,Isabel Aaiún,6,2024-07-10,2023-10-14,77
ADIVINO,Myke Towers,7,2024-07-10,2024-04-25,88
Ohnana,Kapo,8,2024-07-10,2024-06-06,75
FRIKI,Gonzy,9,2024-07-10,2024-04-18,76
Gata Only,FloyyMenor,10,2024-07-10,2024-02-02,96
Santa,Rvssian,11,2024-07-10,2024-04-03,84
Rapido (with Cris Mj),Dei V,12,2024-07-10,2024-06-14,78
LA FALDA,Myke Towers,13,2024-07-10,2023-09-18,85
LUNA,Feid,14,2024-07-10,2023-12-01,90
COMUNA 3,JC Reyes,15,2024-07-10,2024-05-09,74
APAGA EL CEL,FloyyMenor,16,2024-07-10,2024-05-17,85
X'CLUSIVO - REMIX,Gonzy,17,2024-07-10,2024-02-29,78
1000COSAS,Lola Indigo,18,2024-07-10,2024-03-07,76
El Conjuntito,El Bobe,19,2024-07-10,2024-03-22,76
La Bachata,Manuel Turizo,20,2024-07-10,2023-03-17,85
EL PANTALON - RUMBAS,Omar Montes,21,2024-07-10,2024-05-30,71
WYA REMIX RED,J Abdiel,22,2024-07-10,2024-05-10,80
Columbia,Quevedo,23,2024-07-10,2023-07-07,83
Martini,Dei V,24,2024-07-10,2024-06-14,68
Maquillaje - Remix,Renn,25,2024-07-10,2024-05-30,75
FARDOS,JC Reyes,26,2024-07-10,2024-02-16,74
Suano,NTG,27,2024-07-10,2024-03-24,75
Cuando Te Vi | CROSSOVER #5,Big One,28,2024-07-10,2024-06-27,77
4TO 23,Aitana,29,2024-07-10,2024-07-04,64
El Merengue,Marshmello,30,2024-07-10,2023-11-03,80
Lo Que Tiene,Morad,31,2024-07-10,2024-03-08,78
Hay Lupita,Megan Koffe,32,2024-07-10,2024-06-19,64
BBY BOO - REMIX,iZaak,33,2024-07-10,2024-03-27,83
YO LO SOÑÉ,SAIKO,34,2024-07-10,2024-04-26,69
CRUSH,Sky Rompiendo,35,2024-07-10,2023-10-26,75
SORRY 4 THAT MUCH,Feid,36,2024-07-10,2024-06-07,87
Guay,Ozuna,37,2024-07-10,2024-04-18,77
SI NO ES CONTIGO,Cris Mj,38,2024-07-10,2024-05-23,88
LA RANGER (feat. Myke Towers),The Academy: Segunda Misión,39,2024-07-10,2024-03-28,78
Diabólica,Cris Mj,40,2024-07-10,2023-11-09,76
LA CAPI,Myke Towers,41,2024-07-10,2023-09-18,73
TU$$I (with Dei V),YOVNGCHIMI,42,2024-07-10,2023-12-08,76
QLONA,KAROL G,43,2024-07-10,2023-08-10,86
RUEDA,Rvfv,44,2024-07-10,2024-05-31,66
Trending Remix (with Myke Towers),Dei V,45,2024-07-10,2024-06-14,64
Potra Salvaje,Isabel Aaiún,46,2024-07-10,2024-02-09,59
Manos Rotas,DELLAFUENTE,47,2024-07-10,2023-11-16,74
AMARGURA,KAROL G,48,2024-07-10,2023-02-24,86
2xLL,JC Reyes,49,2024-07-10,2024-07-05,58
El Patio,Pepe y Vizio,50,2024-07-10,2022-07-15,71
