nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
Not Like Us,Kendrick Lamar,1,2024-07-10,2024-05-04,96
Please Please Please,Sabrina Carpenter,2,2024-07-10,2024-06-06,98
A Bar Song (Tipsy),Shaboozey,3,2024-07-10,2024-05-31,86
BIRDS OF A FEATHER,Billie Eilish,4,2024-07-10,2024-05-17,98
Espresso,Sabrina Carpenter,5,2024-07-10,2024-04-12,99
I Had Some Help (Feat. Morgan Wallen),Post Malone,6,2024-07-10,2024-05-10,95
"Good Luck, Babe!",Chappell Roan,7,2024-07-10,2024-04-05,94
MILLION DOLLAR BABY,Tommy Richman,8,2024-07-10,2024-04-26,94
28,Zach Bryan,9,2024-07-10,2024-07-04,78
Lies Lies Lies,Morgan Wallen,10,2024-07-10,2024-07-05,77
Too Sweet,Hozier,11,2024-07-10,2024-03-22,89
HOT TO GO!,Chappell Roan,12,2024-07-10,2023-09-22,88
Pink Skies,Zach Bryan,13,2024-07-10,2024-05-24,89
Beautiful Things,Benson Boone,14,2024-07-10,2024-04-05,90
Tough,Quavo,15,2024-07-10,2024-07-03,83
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,16,2024-07-10,2023-08-25,88
Like That,Future,17,2024-07-10,2024-03-22,90
DEVIL IS A LIE,Tommy Richman,18,2024-07-10,2024-06-14,86
LUNCH,Billie Eilish,19,2024-07-10,2024-05-17,95
Fortnight (feat. Post Malone),Taylor Swift,20,2024-07-10,2024-04-18,91
Stick Season,Noah Kahan,21,2024-07-10,2022-10-14,90
Cowgirls (feat. ERNEST),Morgan Wallen,22,2024-07-10,2023-03-03,86
Red Wine Supernova,Chappell Roan,23,2024-07-10,2023-09-22,87
NIGHTS LIKE THIS,The Kid LAROI,24,2024-07-10,2023-11-10,84
Pink Pony Club,Chappell Roan,25,2024-07-10,2023-09-22,84
Something in the Orange,Zach Bryan,26,2024-07-10,2022-04-22,86
American Nights,Zach Bryan,27,2024-07-10,2024-07-04,75
Better Days (feat. John Mayer),Zach Bryan,28,2024-07-10,2024-07-04,73
Lose Control,Teddy Swims,29,2024-07-10,2023-09-15,90
Mamushi (feat. Yuki Chiba),Megan Thee Stallion,30,2024-07-10,2024-06-28,79
Austin (Boots Stop Workin'),Dasha,31,2024-07-10,2024-02-16,91
Last Night,Morgan Wallen,32,2024-07-10,2023-03-03,83
you look like you love me (feat. Riley Green),Ella Langley,33,2024-07-10,2024-06-21,80
Heading South,Zach Bryan,34,2024-07-10,2019-09-30,85
Houdini,Eminem,35,2024-07-10,2024-05-31,94
See You Again (feat. Kali Uchis),"Tyler, The Creator",36,2024-07-10,2017-07-21,89
Pour Me A Drink (Feat. Blake Shelton),Post Malone,37,2024-07-10,2024-06-21,85
Sun to Me,Zach Bryan,38,2024-07-10,2022-05-20,83
Stargazing,Myles Smith,39,2024-07-10,2024-05-10,92
CHIHIRO,Billie Eilish,40,2024-07-10,2024-05-17,93
You Proof,Morgan Wallen,41,2024-07-10,2023-03-03,83
Tobey (feat. Big Sean and BabyTron),Eminem,42,2024-07-10,2024-07-02,81
Gata Only,FloyyMenor,43,2024-07-10,2024-02-02,96
I Can Do It With a Broken Heart,Taylor Swift,44,2024-07-10,2024-04-18,87
Smeraldo Garden Marching Band (feat. Loco),Jimin,45,2024-07-10,2024-06-28,91
Thinkin’ Bout Me,Morgan Wallen,46,2024-07-10,2023-03-03,85
End of Beginning,Djo,47,2024-07-10,2022-09-16,93
Slow It Down,Benson Boone,48,2024-07-10,2024-04-05,89
euphoria,Kendrick Lamar,49,2024-07-10,2024-04-30,88
Cruel Summer,Taylor Swift,50,2024-07-10,2019-08-23,92
