nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,1,2024-07-10,2024-07-02,69
"Sajni (From ""Laapataa Ladies"")",Ram Sampath,2,2024-07-10,2024-02-12,83
"Aasa Kooda - From ""Think Indie""",Sai Abhyankkar,3,2024-07-10,2024-06-13,75
Suniyan Suniyan,Juss,4,2024-07-10,2024-04-12,77
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Mohammad Faiz,5,2024-07-10,2024-05-24,66
"Soni Soni (From ""Ishq Vishk Rebound"")",Darshan Raval,6,2024-07-10,2024-05-24,78
IDK HOW,Karan Aujla,7,2024-07-10,2024-06-26,71
nadaaniyan,Akshath,8,2024-07-10,2024-05-19,75
"Satranga (From ""ANIMAL"")",Arijit Singh,9,2024-07-10,2023-10-27,80
Pehle Bhi Main,Vishal Mishra,10,2024-07-10,2023-11-24,79
Soulmate,Badshah,11,2024-07-10,2024-03-18,79
Softly,Karan Aujla,12,2024-07-10,2023-08-18,76
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,13,2024-07-10,2019-05-31,74
Illuminati,Sushin Shyam,14,2024-07-10,2024-04-19,72
Winning Speech,Karan Aujla,15,2024-07-10,2024-05-16,78
Husn,Anuv Jain,16,2024-07-10,2023-12-01,78
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,17,2024-07-10,2024-01-19,78
"Naina (From ""Crew"")",Diljit Dosanjh,18,2024-07-10,2024-03-05,80
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,19,2024-07-10,2024-02-02,77
Paon Ki Jutti,Jyoti Nooran,20,2024-07-10,2024-05-06,75
Chaleya,Anirudh Ravichander,21,2024-07-10,2023-09-05,74
"Tainu Khabar Nahi - From ""Munjya""",Sachin-Jigar,22,2024-07-10,2024-05-31,72
Apna Bana Le,Sachin-Jigar,23,2024-07-10,2022-12-06,71
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Vishal Mishra,24,2024-07-10,2023-03-17,76
Heeriye (feat. Arijit Singh),Jasleen Royal,25,2024-07-10,2023-07-25,77
"Tu Hain Toh (From ""Mr. And Mrs. Mahi"")",Bunny,26,2024-07-10,2024-05-24,69
Suhagan,Tanishk Bagchi,27,2024-07-10,2024-07-05,56
Tum Se Hi,Pritam,28,2024-07-10,2007-09-21,74
O Maahi,Pritam,29,2024-07-10,2023-12-20,72
"Humdard (From ""Ek Villain"")",Arijit Singh,30,2024-07-10,2020-05-19,72
Ishq,Faheem Abdullah,31,2024-07-10,2024-05-25,61
Jagga Jatt,Ikka,32,2024-07-10,2024-06-05,73
One Love,Shubh,33,2024-07-10,2023-08-18,77
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,34,2024-07-10,2024-05-15,67
Cheques,Shubh,35,2024-07-10,2023-05-19,77
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,36,2024-07-10,2024-05-15,66
"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,37,2024-07-10,2019-06-13,72
Pagal,Guru Randhawa,38,2024-07-10,2024-05-27,75
ANTIDOTE,Karan Aujla,39,2024-07-10,2024-06-26,69
Sang Rahiyo,Jasleen Royal,40,2024-07-10,2020-09-10,74
Tu hai kahan,AUR,41,2024-07-10,2023-10-16,75
House Of Lies,Ikka,42,2024-07-10,2024-06-05,61
Manjha,Vishal Mishra,43,2024-07-10,2020-03-17,75
MVP,Shubh,44,2024-07-10,2024-05-10,76
God Damn,Badshah,45,2024-07-10,2024-03-18,74
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,46,2024-07-10,2017-06-07,68
Espresso,Sabrina Carpenter,47,2024-07-10,2024-04-12,99
Asal Mein,Darshan Raval,48,2024-07-10,2020-02-18,74
Samjho Na,Aditya Rikhari,49,2024-07-10,2022-02-10,71
Bandana,Shubh,50,2024-07-10,2024-03-29,76
