nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
ライラック,Mrs. GREEN APPLE,1,2024-07-10,2024-04-11,78
I wonder,Da-iCE,2,2024-07-10,2024-04-17,76
コロンブス,Mrs. GREEN APPLE,3,2024-07-10,2024-06-11,75
Bling-Bang-Bang-Born,Creepy Nuts,4,2024-07-10,2024-01-07,83
幾億光年,Omoinotake,5,2024-07-10,2024-01-24,76
青と夏,Mrs. GREEN APPLE,6,2024-07-10,2019-10-01,73
ケセラセラ,Mrs. GREEN APPLE,7,2024-07-10,2023-07-04,73
Magnetic,ILLIT,8,2024-07-10,2024-03-25,89
UNDEAD,YOASOBI,9,2024-07-10,2024-07-01,70
ただ君に晴れ,ヨルシカ,10,2024-07-10,2018-05-09,75
ダンスホール,Mrs. GREEN APPLE,11,2024-07-10,2023-12-01,49
ロマンチシズム,Mrs. GREEN APPLE,12,2024-07-10,2019-10-01,72
夢幻,MY FIRST STORY,13,2024-07-10,2024-05-13,74
初恋キラー,乃紫,14,2024-07-10,2024-05-08,74
晩餐歌,tuki.,15,2024-07-10,2023-09-29,74
Supernatural,NewJeans,16,2024-07-10,2024-06-21,81
Magic,Mrs. GREEN APPLE,17,2024-07-10,2023-07-04,72
怪獣の花唄,Vaundy,18,2024-07-10,2020-05-27,73
Dear,Mrs. GREEN APPLE,19,2024-07-10,2024-05-19,73
地獄恋文,tuki.,20,2024-07-10,2024-04-16,73
Soranji,Mrs. GREEN APPLE,21,2024-07-10,2023-07-04,70
BON,Number_i,22,2024-07-10,2024-05-27,75
さよーならまたいつか！- Sayonara,Kenshi Yonezu,23,2024-07-10,2024-04-08,74
タイムパラドックス,Vaundy,24,2024-07-10,2024-01-07,73
アイドル,YOASOBI,25,2024-07-10,2023-10-04,73
Seven (feat. Latto) (Explicit Ver.),Jung Kook,26,2024-07-10,2023-11-03,85
Like Crazy,Jimin,27,2024-07-10,2023-03-24,88
GOAT,Number_i,28,2024-07-10,2024-01-01,71
インフェルノ,Mrs. GREEN APPLE,29,2024-07-10,2019-10-01,71
Love seeker,JO1,30,2024-07-10,2024-05-11,69
Smeraldo Garden Marching Band (feat. Loco),Jimin,31,2024-07-10,2024-06-28,91
Romantic,SEKAI NO OWARI,32,2024-07-10,2024-05-10,71
How Sweet,NewJeans,33,2024-07-10,2024-05-24,84
ビビデバ,Hoshimachi Suisei,34,2024-07-10,2024-03-23,73
水平線,back number,35,2024-07-10,2023-01-17,70
美しい鰭,SPITZ,36,2024-07-10,2023-05-17,70
唱,Ado,37,2024-07-10,2024-02-06,71
花束,back number,38,2024-07-10,2011-10-26,68
高嶺の花子さん,back number,39,2024-07-10,2014-03-26,70
アポロドロス,Mrs. GREEN APPLE,40,2024-07-10,2024-07-02,63
絶対零度,natori,41,2024-07-10,2024-04-05,75
ファタール - Fatal,GEMN,42,2024-07-10,2024-07-04,65
相思相愛,aiko,43,2024-07-10,2024-04-12,71
Supernova,aespa,44,2024-07-10,2024-05-27,75
ホムンクルス,Vaundy,45,2024-07-10,2024-07-05,60
会いに行くのに,Aimyon,46,2024-07-10,2024-05-01,69
W / X / Y,Tani Yuuki,47,2024-07-10,2021-12-08,69
毎日 - Every Day,Kenshi Yonezu,48,2024-07-10,2024-05-27,72
オレンジ,SPYAIR,49,2024-07-10,2024-02-14,73
WOKE UP,XG,50,2024-07-10,2024-05-21,80
