nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones
REAL GANGSTA LOVE,Trueno,1,2024-07-10,2024-05-23,91
Cuando Te Vi | CROSSOVER #5,Big One,2,2024-07-10,2024-06-27,77
"Perdonarte, ¿Para Qué?",Los Ángeles Azules,3,2024-07-10,2024-05-23,82
Hoy,Valentino Merlo,4,2024-07-10,2024-05-22,77
La_Playlist.mpeg,Emilia,5,2024-07-10,2024-06-20,75
APAGA EL CEL,FloyyMenor,6,2024-07-10,2024-05-17,85
HOY,The La Planta,7,2024-07-10,2024-05-16,76
Ojos Verdes,Nicki Nicole,8,2024-07-10,2024-04-24,79
Si Antes Te Hubiera Conocido,KAROL G,9,2024-07-10,2024-06-21,90
La Corriente,LA NUEVA ESCUELA,10,2024-07-10,2024-04-05,55
Un Besito Más,Salastkbron,11,2024-07-10,2024-03-14,76
Piel,Tiago PZK,12,2024-07-10,2024-07-04,60
SAN TURRONA,La Joaqui,13,2024-07-10,2024-05-16,74
Mil Preguntas,The La Planta,14,2024-07-10,2024-03-07,73
IMAN (Two Of Us),Maria Becerra,15,2024-07-10,2024-05-16,77
Tal Para Cual,Salastkbron,16,2024-07-10,2024-01-11,73
ROZE | DJ TAO Turreo Sessions #22,DJ Tao,17,2024-07-10,2023-11-23,73
LUNA,Feid,18,2024-07-10,2023-12-01,90
Gata Only,FloyyMenor,19,2024-07-10,2024-02-02,96
CEO,Mesita,20,2024-07-10,2024-06-18,71
Santa,Rvssian,21,2024-07-10,2024-04-03,84
Una Foto Remix (feat. Emilia),Mesita,22,2024-07-10,2024-01-05,80
BBY BOO - REMIX,iZaak,23,2024-07-10,2024-03-27,83
Ando⧸LolliPop⧸Una Foto⧸Pobre Diabla⧸Si No Le Contesto⧸Regalame Una Noche⧸Perdoname,LA NUEVA ESCUELA,24,2024-07-10,2024-03-19,53
Tu y Yo,LA NUEVA ESCUELA,25,2024-07-10,2022-12-30,53
offline,Young Miko,26,2024-07-10,2024-04-05,85
SI NO ES CONTIGO,Cris Mj,27,2024-07-10,2024-05-23,88
30 Grados,El Turko,28,2024-07-10,2024-01-25,61
QUE ME FALTE TODO,Luck Ra,29,2024-07-10,2024-02-02,70
Por Mil Noches,Airbag,30,2024-07-10,2013-11-27,72
HOLA PERDIDA,Luck Ra,31,2024-07-10,2024-02-02,71
"Ya no me duele :,)",Bauti Mascia,32,2024-07-10,2023-12-14,62
La Victima,LA NUEVA ESCUELA,33,2024-07-10,2024-05-02,51
Una Foto,Mesita,34,2024-07-10,2023-08-15,71
Que Dolor,LA NUEVA ESCUELA,35,2024-07-10,2023-02-01,52
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",Bhavi,36,2024-07-10,2024-04-16,80
Muevelo,La Deskarga,37,2024-07-10,2022-07-08,44
SORRY 4 THAT MUCH,Feid,38,2024-07-10,2024-06-07,87
Inocente,Roze Oficial,39,2024-07-10,2023-12-01,69
HOLA PERDIDA REMIX,Luck Ra,40,2024-07-10,2024-05-31,78
SINVERGÜENZA - con Angela Torres,Emanero,41,2024-07-10,2023-12-05,72
Rara Vez,Taiu,42,2024-07-10,2023-02-08,81
La_Original.mp3,Emilia,43,2024-07-10,2023-11-03,76
WYA REMIX RED,J Abdiel,44,2024-07-10,2024-05-10,80
Diabólica,Cris Mj,45,2024-07-10,2023-11-09,76
A PRUEBA DE BALAS,The La Planta,46,2024-07-10,2024-03-08,66
La Bachata,Manuel Turizo,47,2024-07-10,2023-03-17,85
La Morocha,Luck Ra,48,2024-07-10,2024-02-02,69
Un Finde | CROSSOVER #2,Big One,49,2024-07-10,2023-04-04,75
FLECHAZO EN EL CENTRO,YSY A,50,2024-07-10,2023-09-06,75
