titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,1,2024-07-10,2024-06-28,16906779
"Tiago PZK, Manuel Turizo - De Vuelta (Video Oficial)",Tiago PZK,2,2024-07-10,2024-07-05,1176905
"La China, L-Gante, Jairo Vera - Llora Como Un Arrepentido [feat. Gino Mella] (Video Oficial)",La China,3,2024-07-10,2024-07-03,902411
"Tiago PZK, Duki - RCP (Visualizer)",Tiago PZK,4,2024-07-10,2024-07-05,914371
"Tiago PZK, Nicki Nicole - Cristal (Visualizer)",Tiago PZK,5,2024-07-10,2024-07-05,657140
Perdonarte Para Que? - Eugenia Quevedo | LBC (En Vivo),Eugenia Quevedo,6,2024-07-10,2024-06-20,3875567
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,7,2024-07-10,2024-07-02,2504945
Emilia - La_Playlist.mpeg (Official Video),EmiliaMusicVEVO,8,2024-07-10,2024-06-20,5779611
PELEAMOS  - ELAGGUME  (VIDEO OFICIAL),elaggume,9,2024-07-10,2024-06-27,1022808
VIUS - Albiceleste (Dale Dale Selección) (OFFICIAL VISUALIZER),VIUS,10,2024-07-10,2024-07-08,160056
LISA - ROCKSTAR (Official Music Video),LLOUD Official,11,2024-07-10,2024-06-28,97008439
Sticky (Sticky),KISS OF LIFE - Topic,12,2024-07-10,2024-06-30,4879684
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,13,2024-07-10,2024-06-25,21775531
YSY A FT. DE LA GHETTO - LA JOYA DE ESTA ERA (PROD. KOKI LS),YSY A,14,2024-07-10,2024-06-26,1521589
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,15,2024-07-10,2024-07-02,2861523
Te Gusto Este Bambini,1.7mrto - Topic,16,2024-07-10,2024-06-24,558472
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,17,2024-07-10,2024-06-28,22023765
"Nico Mattioli, El Polaco - Cómo Podré (Video Oficial)",Nico Mattioli,18,2024-07-10,2024-07-05,158939
"Fer Vazquez, Chili Fernandez, Candu Domínguez, Zhae - Prometí (Video Oficial)",Fer Vazquez ,19,2024-07-10,2024-06-26,1232448
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,20,2024-07-10,2024-06-25,7950384
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,21,2024-07-10,2024-07-04,41928076
"Carlos Rivera, Alexandre Pires - Usted Se Me Llevó la Vida (Video Oficial)",CarlosRiveraVEVO,22,2024-07-10,2024-07-05,565428
"Nicki Nicole, SAIKO - PERROS&GATA$ (Official Video)",nickinicoleVEVO,23,2024-07-10,2024-06-27,1416571
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,24,2024-07-10,2024-06-28,13521294
Lil Pani & Zaramay - BIG BOSS (Video Oficial),Lil Pani,25,2024-07-10,2024-07-04,162354
Flor Alvarez - MIX CUMBIA 2 -  Jurabas Tu / Inocente / Costumbres,Flor Alvarez,26,2024-07-10,2024-07-05,206586
"MESITA, DUKI - CEO (Video Oficial)",Mesita,27,2024-07-10,2024-06-18,3893667
CHAMUYERA - Jorgito barrionuevo x fauna miusic (VIDEO OFICIAL),Jorgito Barrionuevo,28,2024-07-10,2024-07-05,73521
Small girl (feat. D.O.) (Small girl),Lee Young Ji - Topic,29,2024-07-10,2024-06-21,14709970
No Vuelvo a Caer,La T y La M - Topic,30,2024-07-10,2024-06-13,125589
