titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,1,2024-07-10,2024-07-04,41928076
Tauba Tauba | Bad Newz | Vicky Kaushal | Triptii Dimri | Karan Aujla | In cinemas 19th July,Saregama Music,2,2024-07-10,2024-07-02,37925861
LISA - ROCKSTAR (Official Music Video),LLOUD Official,3,2024-07-10,2024-06-28,97008439
Eminem - Tobey feat. Big Sean & BabyTron (Official Music Video),Lyrical Lemonade,4,2024-07-10,2024-07-08,5038187
IDK HOW (MUSIC VIDEO) KARAN AUJLA  | FOUR ME EP  | LATEST PUNJABI SONGS 2024,Rehaan Records,5,2024-07-10,2024-06-27,19126965
BABYMONSTER - ‘FOREVER’ M/V,BABYMONSTER,6,2024-07-10,2024-06-30,53449990
"Quavo, Lana Del Rey - Tough (Official Video)",QuavoVEVO,7,2024-07-10,2024-07-03,5571354
Someone You Loved,Lewis Capaldi - Topic,8,2024-07-10,2024-06-27,1275777
60 Pound (Official Video) Gulab Sidhu | Gurlez Akhtar | Jang Dhillon | Iris Music | New Punjabi Song,Leaf Records,9,2024-07-10,2024-07-04,4362358
WHO THEY?,Karan Aujla - Topic,10,2024-07-10,2024-06-26,3122570
Post Malone ft. Blake Shelton - Pour Me A Drink (Official Video),PostMaloneVEVO,11,2024-07-10,2024-06-24,8893812
(여자)아이들((G)I-DLE) - '클락션 (Klaxon)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),12,2024-07-10,2024-07-08,11132196
LISA - ROCKSTAR Dance Practice Video,LLOUD Official,13,2024-07-10,2024-07-09,4396825
The Kid LAROI - GIRLS (Official Video),TheKidLAROIVEVO,14,2024-07-10,2024-06-28,3263655
Teddy Swims - Lose Control (Lyrics),Creative Chaos,15,2024-07-10,2024-07-04,1058279
"Stefflon Don - Dilemma ft Sidhu Moose Wala, GuiltyBeatz & Steel Banglez (Official Music Video)",Stefflon Don,16,2024-07-10,2024-06-24,9443720
Shubh - Be Mine (Official Audio),SHUBH,17,2024-07-10,2024-07-05,2615626
Tommy Richman - MILLION DOLLAR BABY (Official Music Video),Tommy Richman,18,2024-07-10,2024-07-05,1914245
@Nijjar - Kneel (Official Music Video) Nijjar Ft. Gurlez Akhtar | New Punjabi Song 2024,NIJJAR,19,2024-07-10,2024-07-08,2504750
Complete - Dog The Boys,COMPLETE,20,2024-07-10,2024-07-08,27639
Mera Imam Hussain | Nadeem Sarwar | 45th Album - 2024 / 1446,Nadeem Sarwar,21,2024-07-10,2024-07-09,2204380
Purna Rai & Dajubhaiharu - Sparsha Sangeet,Purna Rai,22,2024-07-10,2024-07-06,679535
"ST MAN FT. LIL JHOLA, YUNG 22 & LIL NORZZA - INDIA  | OFFICIAL MUSIC VIDEO | 2024",ST MAN OFFICIAL,23,2024-07-10,2024-06-28,2099379
mgk - Sun to Me (Zach Bryan Cover) [Live from Cheshire Cottage],mgk,24,2024-07-10,2024-06-26,2884411
KISS OF LIFE (키스오브라이프) 'Sticky' Official Music Video,KISS OF LIFE,25,2024-07-10,2024-06-30,14852609
"CATCH ME IF YOU CAN - Negav, Quang Hùng MasterD, Nicky, Công Dương | Anh Trai Say Hi [Performance]",Vie Channel - MUSIC,26,2024-07-10,2024-07-07,1809788
King Gizzard & The Lizard Wizard - Le Risque (Official Video),KingGizzardVEVO,27,2024-07-10,2024-07-09,185273
LEHNGA : DILJIT DOSANJH | NEERU BAJWA | LATEST PUNJABI SONGS 2024 | NEW PUNJABI SONGS 2024,Speed Records,28,2024-07-10,2024-06-20,16195070
Sushant KC - Kya Kardiya (Official Music Video),Sushant KC,29,2024-07-10,2024-06-22,2396611
Khokhe (Official Video) Mankirt Aulakh | Pranjal Dahiya | Simar Kaur | Punjabi Song,Mankirat Aulakh,30,2024-07-10,2024-07-03,8680377
