titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
Miguel Bueno - Fan De Tus Ojos | Video Oficial,Miguel Bueno,1,2024-07-10,2024-07-05,1384110
KAROL G - Si Antes Te Hubiera Conocido (Official Video),KarolGVEVO,2,2024-07-10,2024-06-21,50300408
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,3,2024-07-10,2024-07-02,2504945
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,4,2024-07-10,2024-06-25,7950384
Kapo – Ohnana [Letra],Latin Union,5,2024-07-10,2024-07-04,454709
Greeicy - A Veces A Besos (Official Video),GreeicyVEVO,6,2024-07-10,2024-06-21,6972018
Romeo Santos - Imitadora (Letra/Lyrics),Eterna Vida,7,2024-07-10,2024-07-02,758505
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,8,2024-07-10,2024-07-02,2861523
Julian Daza | DIOS ME DIJO 🙏  (Video Oficial),Julian Daza,9,2024-07-10,2024-06-27,910236
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,10,2024-07-10,2024-06-28,22023765
LISA - ROCKSTAR (Official Music Video),LLOUD Official,11,2024-07-10,2024-06-28,97008439
Jhonny Rivera - El Provinciano (Video Oficial),Jhonny Rivera,12,2024-07-10,2024-07-06,671858
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,13,2024-07-10,2024-07-04,41928076
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,14,2024-07-10,2024-06-28,13521294
"SLAYTER, HADES66, BRYANT MYERS - 9x19 remix 🥷 (Official Video)",SLAYTER,15,2024-07-10,2024-07-09,467223
"NIO GARCIA, BLESSD & SOG - MELA (Video Oficial)",Nio Garcia,16,2024-07-10,2024-07-05,644759
Gigi Méndez - Somos Vinotinto (Video Oficial),Gigi Méndez,17,2024-07-10,2024-06-29,2468468
MALO H,Leandro Santos - Topic,18,2024-07-10,2024-07-01,211997
@ClarentKP - La de Bassy,Clarent,19,2024-07-10,2024-07-04,386753
perfecta paz (live) - nxtwave (video oficial),Nxtwave,20,2024-07-10,2024-07-02,140035
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,21,2024-07-10,2024-06-28,16906779
COMO ASÍ? - LuisRa (Video Oficial - #OtraGeneracion),LuisRa,22,2024-07-10,2024-07-05,60848
Silvestre Dangond - LA VALLENATA (Official Video),SilvestreDangondVEVO,23,2024-07-10,2024-06-20,1252913
"Mirame - Blessd, Ovy On The Drums (letra)",THUNDER,24,2024-07-10,2024-06-29,192629
Ya No Eres la Misma,Mc Car - Topic,25,2024-07-10,2024-06-28,77296
Keyvin Ce - No Queda Nada (Video Oficial),Keyvin Ce,26,2024-07-10,2024-06-28,516406
"Mi Segunda Vida, Binomio De Oro de América - Video Letra",Codiscos,27,2024-07-10,2024-07-02,61924
지민 (Jimin) 'Smeraldo Garden Marching Band (feat. Loco)' Official Track Video,HYBE LABELS,28,2024-07-10,2024-06-28,14808143
TitoTrack #01 || Snoop Dogg x Jeanette  - Pq' Te Vas / Drop It Like It's Hot (Music Video),Tito Silva Music,29,2024-07-10,2024-06-24,6042302
"Residente, Jessie Reyez - El Encuentro (LIVE Session)",ResidenteVEVO,30,2024-07-10,2024-07-04,574389
