titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,1,2024-07-10,2024-07-02,2504945
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,2,2024-07-10,2024-06-25,21775531
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,3,2024-07-10,2024-07-02,2861523
Romeo Santos - Imitadora (Letra/Lyrics),Eterna Vida,4,2024-07-10,2024-07-02,758505
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,5,2024-07-10,2024-06-28,16906779
LISA - ROCKSTAR (Official Music Video),LLOUD Official,6,2024-07-10,2024-06-28,97008439
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,7,2024-07-10,2024-06-28,22023765
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,8,2024-07-10,2024-06-25,7950384
"Alex Ponce, Lasso, Sebastian Llosa - Ve y Diles V2 (Remix) [Video Oficial]",Alex Ponce,9,2024-07-10,2024-06-28,1073581
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,10,2024-07-10,2024-06-28,13521294
Trueno - REAL GANGSTA LOVE (Letra/Lyrics),RegionalOnly,11,2024-07-10,2024-07-01,582851
"Tiago PZK, Manuel Turizo - De Vuelta (Video Oficial)",Tiago PZK,12,2024-07-10,2024-07-05,1176905
"Mirame - Blessd, Ovy On The Drums (letra)",THUNDER,13,2024-07-10,2024-06-29,192629
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,14,2024-07-10,2024-07-04,41928076
Greeicy - A Veces A Besos (Official Video),GreeicyVEVO,15,2024-07-10,2024-06-21,6972018
"Tiago PZK, Duki - RCP (Visualizer)",Tiago PZK,16,2024-07-10,2024-07-05,914371
💔 Julieta Venegas - Me Voy (Letra),Stay Retro,17,2024-07-10,2024-06-26,892797
Miguel Bueno - Fan De Tus Ojos | Video Oficial,Miguel Bueno,18,2024-07-10,2024-07-05,1384110
지민 (Jimin) 'Smeraldo Garden Marching Band (feat. Loco)' Official Track Video,HYBE LABELS,19,2024-07-10,2024-06-28,14808143
"BAILA Y NO LLORES | Kike Jav, Proyecto Coraza (Video Oficial)",Kike Jav,20,2024-07-10,2024-06-14,2183448
"SLAYTER, HADES66, BRYANT MYERS - 9x19 remix 🥷 (Official Video)",SLAYTER,21,2024-07-10,2024-07-09,467223
BABYMONSTER - ‘FOREVER’ M/V,BABYMONSTER,22,2024-07-10,2024-06-30,53449990
TitoTrack #01 || Snoop Dogg x Jeanette  - Pq' Te Vas / Drop It Like It's Hot (Music Video),Tito Silva Music,23,2024-07-10,2024-06-24,6042302
Tiago PZK - Adicción (Visualizer),Tiago PZK,24,2024-07-10,2024-07-05,535602
"El Alfa ""El Jefe"" x Nfasis - ESTE (Video Oficial)",ElAlfaElJefeTV,25,2024-07-10,2024-07-04,4362865
LISA - ROCKSTAR Dance Practice Video,LLOUD Official,26,2024-07-10,2024-07-09,4396825
KAROL G - Si Antes Te Hubiera Conocido Remix - Dj Francisco Freites,Dj Francisco Freites,27,2024-07-10,2024-06-24,455416
Hay Lupita,Lomiiel - Topic,28,2024-07-10,2024-06-27,1345176
A LO PELOTERO 2 - DJ FARICHO - ERIVAN Y JERRY - MC TANA - TAPUY - VIDEO OFFICIAL - SALSA CHOKE,Dj Faricho,29,2024-07-10,2024-06-11,148219
💔 Camila - Mientes (Letra),Stay Retro,30,2024-07-10,2024-06-30,215957
