titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
Omar Montes & JC Reyes - GOTERAS,OMAR MONTES,1,2024-07-10,2024-06-27,4346991
JC REYES x YOVNGCHIMI x SLAYTER - 2xLL,LOS GREEN LANTERS,2,2024-07-10,2024-07-04,1058381
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,3,2024-07-10,2024-06-25,21775531
Aitana - 4TO 23 (Video Oficial),AitanaVEVO,4,2024-07-10,2024-07-04,685860
Isabel Aaiún - Potra Salvaje (Hard Remix) ft. Fernando Moreno,LatinHype,5,2024-07-10,2024-06-24,1815153
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,6,2024-07-10,2024-06-28,16906779
"Chiara Oliver, Violeta Hódar - el parque (Video Oficial)",ChiaraOliverVEVO,7,2024-07-10,2024-07-09,183823
"Yo Soy el Mas Chulo de España - Bb trickz, Omar Montes, Tino JJ, El Baby R",Bb trickz,8,2024-07-10,2024-07-04,355253
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,9,2024-07-10,2024-07-02,2861523
"RVFV, DAVID BISBAL -  RUEDA (Video Oficial)",RVFV,10,2024-07-10,2024-06-26,1475044
Maka - Gracias a Dios (Video oficial),Maka Pna,11,2024-07-10,2024-07-04,234928
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,12,2024-07-10,2024-07-04,41928076
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,13,2024-07-10,2024-06-28,22023765
Kapo – Ohnana [Letra],Latin Union,14,2024-07-10,2024-07-04,454709
"SLAYTER, HADES66, BRYANT MYERS - 9x19 remix 🥷 (Official Video)",SLAYTER,15,2024-07-10,2024-07-09,467223
RUSLANA - LOKADEMÁS (Video Oficial),RUSLANAVEVO,16,2024-07-10,2024-07-04,199242
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,17,2024-07-10,2024-07-02,2504945
"CANO, EL BOBE , SRNO - Reina (VIDEOCLIP OFICIAL)",CANO,18,2024-07-10,2024-06-27,488991
LISA - ROCKSTAR (Official Music Video),LLOUD Official,19,2024-07-10,2024-06-28,97008439
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,20,2024-07-10,2024-06-25,7950384
Manuel Carrasco - La Reina Del Baile (Video Oficial),ManuelCarrascoVEVO,21,2024-07-10,2024-06-25,745765
"Tiago PZK, Manuel Turizo - De Vuelta (Video Oficial)",Tiago PZK,22,2024-07-10,2024-07-05,1176905
@ClarentKP - La de Bassy,Clarent,23,2024-07-10,2024-07-04,386753
"Tiago PZK, Duki - RCP (Visualizer)",Tiago PZK,24,2024-07-10,2024-07-05,914371
"Nicki Nicole, SAIKO - PERROS&GATA$ (Official Video)",nickinicoleVEVO,25,2024-07-10,2024-06-27,1416571
Lola Indigo - LA REINA (Video Oficial),LolaIndigoVEVO,26,2024-07-10,2024-06-13,5378632
Demarco Flamenco - Bonito (Lyric Video Oficial),Demarco Flamenco,27,2024-07-10,2024-07-04,109030
MAYO - So Cute (Video Oficial),mayooficialVEVO,28,2024-07-10,2024-07-04,88338
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,29,2024-07-10,2024-06-28,13521294
"El Alfa ""El Jefe"" x Nfasis - ESTE (Video Oficial)",ElAlfaElJefeTV,30,2024-07-10,2024-07-04,4362865
