titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,1,2024-07-10,2024-07-04,41928076
L'Algérino (ft. Soolking) - Roméo (Clip Officiel),L'Algerino,2,2024-07-10,2024-07-05,2144261
LISA - ROCKSTAR (Official Music Video),LLOUD Official,3,2024-07-10,2024-06-28,97008439
IDS - 3 X 1 (Clip Officiel),L2B,4,2024-07-10,2024-07-05,174145
Koba LaD - Un peu d'amour,Koba LaD,5,2024-07-10,2024-07-05,349739
JuL  - Mafiosa // Clip Officiel // 2024,DORETDEPLATINE,6,2024-07-10,2024-06-28,2935816
ISS - Soleil plein ( Clip Officiel ),ISS,7,2024-07-10,2024-07-04,258235
Houari feat. JuL - Vanillée // Clip officiel // 2024,Houari Officiel,8,2024-07-10,2024-06-21,2854814
TIAKOLA X GAZO - NOTRE DAME feat. Angèle (Visualizer),TIAKOLA,9,2024-07-10,2024-06-29,905285
Landy (Ft. Guy2Bezbar) - Charger (Clip Officiel),Landy,10,2024-07-10,2024-06-28,879488
CRF - Nouvelle École,Yorssy - Topic,11,2024-07-10,2024-07-04,152880
Teddy Swims - Lose Control (Lyrics),Creative Chaos,12,2024-07-10,2024-07-04,1058279
KLM Pursang - Fracture  (Clip Officiel),KLM PURSANG ,13,2024-07-10,2024-07-05,121835
GAMBI - HÉHÉ HÉ,Gambi,14,2024-07-10,2024-07-05,506269
Djadja & Dinaz - Continents [Lyrics Video],Djadja & Dinaz,15,2024-07-10,2024-06-27,551456
"Naps (ft. TK, Missan & La Crapule) - T'AS FAIT LE C0N (Clip Officiel)",Naps Officiel,16,2024-07-10,2024-07-05,353281
Eminem - Tobey feat. Big Sean & BabyTron (Official Music Video),Lyrical Lemonade,17,2024-07-10,2024-07-08,5038187
Franglish - Solide (Clip Officiel),Franglish,18,2024-07-10,2024-07-05,611077
ELLE & MA SŒUR,KLM - Topic,19,2024-07-10,2024-07-04,97855
UZI  - 50G feat @jksnofficiel (Clip officiel),UZI OFFICIEL,20,2024-07-10,2024-06-21,2087843
Koba LaD - Freestyle BMF #2,Koba LaD,21,2024-07-10,2024-06-26,708466
"Quavo, Lana Del Rey - Tough (Official Video)",QuavoVEVO,22,2024-07-10,2024-07-03,5571354
BABYMONSTER - ‘FOREVER’ M/V,BABYMONSTER,23,2024-07-10,2024-06-30,53449990
ISK feat. KLM & Mola - BRAV-M (Clip Officiel),ISK Officiel,24,2024-07-10,2024-06-26,585155
Fresh LaDouille - La calle (Clip officiel),Fresh LaDouille,25,2024-07-10,2024-06-28,561193
Samara - Contrat (Freestyle),Samara,26,2024-07-10,2024-06-30,2044359
K2S - Dougie (Paroles),Paroles Françaises,27,2024-07-10,2024-07-03,137386
Kaaris - QUE LO QUE ft. @ElGrandeToto  (Clip Officiel),Kaaris,28,2024-07-10,2024-07-03,1023449
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,29,2024-07-10,2024-06-28,13521294
Dani Mocanu - Hai sa ne iubim ca nemții 🇩🇪 Official Video,Dani Mocanu © Oficial,30,2024-07-10,2024-07-08,1179065
