titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
MINIMI (Video Oficial) - Bryan Martínez,Bryan Martínez,1,2024-07-10,2024-07-04,5139753
"PRIMO (Video Oficial) - Tito Double P, Natanael Cano",Tito Double P,2,2024-07-10,2024-07-06,2207978
Banda MS de Sergio Lizárraga & Alfredo Olivas – Tengo Claro (Video Oficial),BANDA MS,3,2024-07-10,2024-07-05,1249538
Amapola,La P Doble - Topic,4,2024-07-10,2024-07-02,1333396
LISA - ROCKSTAR (Official Music Video),LLOUD Official,5,2024-07-10,2024-06-28,97008439
Labios de Cereza 2 - (Video Oficial) - T3R Elemento - DEL Records 2024,DEL Records,6,2024-07-10,2024-06-27,2219359
"VINO TINTO (Video Oficial) - Peso Pluma, Natanael Cano, Gabito Ballesteros",Peso Pluma,7,2024-07-10,2024-06-26,6695713
Xavi - OOTD (Official Video),Xavi Oficial,8,2024-07-10,2024-06-28,4350918
Sobran Motivos,Conjunto Rienda Real - Topic,9,2024-07-10,2024-06-19,508190
Christian Nodal - No Me 100to Bien (Video Oficial),ChristianNodalVEVO,10,2024-07-10,2024-07-05,1088438
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,11,2024-07-10,2024-07-04,41928076
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,12,2024-07-10,2024-07-02,2504945
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,13,2024-07-10,2024-06-28,13521294
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,14,2024-07-10,2024-06-25,21775531
"LA PATRULLA (Lyric Video) - Peso Pluma, Neton Vega",Peso Pluma,15,2024-07-10,2024-06-21,7123893
Peloteras - (Video Oficial) - El Makabelico y Yahir Saldivar ft. El Flako,DEL Records,16,2024-07-10,2024-06-28,2021601
지민 (Jimin) 'Smeraldo Garden Marching Band (feat. Loco)' Official Track Video,HYBE LABELS,17,2024-07-10,2024-06-28,14808143
Amapola,Nata CM - Topic,18,2024-07-10,2024-07-02,432288
"SANTAL 33 (Lyric Video) - Peso Pluma, Oscar Maydon",Peso Pluma,19,2024-07-10,2024-06-21,5635316
Grupo Firme - El Beneficio De La Duda (Video Lyrics),MUSIC VIP,20,2024-07-10,2024-06-22,4070060
TWICE「DIVE」Music Video,TWICE JAPAN OFFICIAL YouTube Channel,21,2024-07-10,2024-07-09,2069447
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,22,2024-07-10,2024-06-28,16906779
Romeo Santos - Imitadora (Letra/Lyrics),Eterna Vida,23,2024-07-10,2024-07-02,758505
"Tornillo, Santa Fe Klan - R8 (Video Oficial)",TornillO Oficial,24,2024-07-10,2024-07-07,300984
Flore$ - Régulo Caro x Tino Acosta [Lyric Video],Regulo Caro,25,2024-07-10,2024-07-05,259611
"Tiago PZK, Manuel Turizo - De Vuelta (Video Oficial)",Tiago PZK,26,2024-07-10,2024-07-05,1176905
"Tiago PZK, Duki - RCP (Visualizer)",Tiago PZK,27,2024-07-10,2024-07-05,914371
LISA - ROCKSTAR Dance Practice Video,LLOUD Official,28,2024-07-10,2024-07-09,4396825
Oswaldo NR - La Chilena BELICA (Video Oficial),STREET MOB,29,2024-07-10,2024-07-06,281079
Ismael CM x Adrian L Santos x Calle 24 - MIRAA [Official Video],Rancho Humilde,30,2024-07-10,2024-06-21,3542172
