titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
Kendrick Lamar - Not Like Us,KendrickLamarVEVO,1,2024-07-10,2024-07-04,41928076
Eminem - Tobey feat. Big Sean & BabyTron (Official Music Video),Lyrical Lemonade,2,2024-07-10,2024-07-08,5038187
Tauba Tauba | Bad Newz | Vicky Kaushal | Triptii Dimri | Karan Aujla | In cinemas 19th July,Saregama Music,3,2024-07-10,2024-07-02,37925861
Dani Mocanu - Hai sa ne iubim ca nemții 🇩🇪 Official Video,Dani Mocanu © Oficial,4,2024-07-10,2024-07-08,1179065
"BABASHA - Amo, Amo | Official Video",B A B A S H A,5,2024-07-10,2024-07-03,5280887
LISA - ROCKSTAR (Official Music Video),LLOUD Official,6,2024-07-10,2024-06-28,97008439
"Quavo, Lana Del Rey - Tough (Official Video)",QuavoVEVO,7,2024-07-10,2024-07-03,5571354
Teddy Swims - Lose Control (Lyrics),Creative Chaos,8,2024-07-10,2024-07-04,1058279
Bogdan DLP ❌ @AdrianMinune. - Galileo Galilei 👑 Official Video,Bogdan DLP,9,2024-07-10,2024-07-03,2452049
DoRoad - Fulus (Official Music Video),DoRoad 1,10,2024-07-10,2024-07-04,140391
Benson Boone - Beautiful Things (Lyrics),Creative Chaos,11,2024-07-10,2024-07-03,981357
DON XHONI - M'FAL,DON XHONI,12,2024-07-10,2024-07-02,4223599
Tommy Richman - MILLION DOLLAR BABY (Official Music Video),Tommy Richman,13,2024-07-10,2024-07-05,1914245
King Paluta - MAKOMA ( Visualizer ),King Paluta,14,2024-07-10,2024-07-06,374540
Dezzie x Izzpot x K1 Never Forget Loyalty - Say Narda [Music Video] | GRM Daily,GRM Daily,15,2024-07-10,2024-07-04,99146
B.U.G. Mafia - Au! (feat. @MOZAKALIZA) (Prod. Tata Vlad) (Videoclip),B.U.G. Mafia,16,2024-07-10,2024-07-03,1534829
Headie One - Karma (official video),Headie One,17,2024-07-10,2024-07-04,209241
Noizy x Era Istrefi - Take a Look,thisisnoizy,18,2024-07-10,2024-07-02,1851380
Yungeen Ace - Game Over (Official Music Video),Yungeen Ace,19,2024-07-10,2024-06-28,7773939
"Stefflon Don - Dilemma ft Sidhu Moose Wala, GuiltyBeatz & Steel Banglez (Official Music Video)",Stefflon Don,20,2024-07-10,2024-06-24,9443720
mgk - I Think I’m OKAY (with YUNGBLUD) (Sad Version) [Official Music Video],mgk,21,2024-07-10,2024-07-05,994932
60 Pound (Official Video) Gulab Sidhu | Gurlez Akhtar | Jang Dhillon | Iris Music | New Punjabi Song,Leaf Records,22,2024-07-10,2024-07-04,4362358
Marky B x YA x Connor John - All I Ever Wanted [Music Video],Marky B,23,2024-07-10,2024-07-05,61440
GeeYou - 2Phones (Official Music Video ),GeeYou,24,2024-07-10,2024-07-04,129422
(여자)아이들((G)I-DLE) - '클락션 (Klaxon)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),25,2024-07-10,2024-07-08,11132196
"M.G.L. x Erika Isac - ""Voila"" ( Official Music Video )",M.G.L. Official,26,2024-07-10,2024-07-06,774848
BossMan Dlow - PJ Ft. Lil Baby (Official Video),BossMan Dlow,27,2024-07-10,2024-07-09,746592
Shubh - Be Mine (Official Audio),SHUBH,28,2024-07-10,2024-07-05,2615626
Someone You Loved,Lewis Capaldi - Topic,29,2024-07-10,2024-06-27,1275777
IDK HOW (MUSIC VIDEO) KARAN AUJLA  | FOUR ME EP  | LATEST PUNJABI SONGS 2024,Rehaan Records,30,2024-07-10,2024-06-27,19126965
