titulo,canal,posicion,fecha_subida,fecha_publicacion,vistas
"Maria Becerra, Trueno, Big One - Cuando Te Vi | CROSSOVER #5",Big One,1,2024-07-10,2024-06-28,16906779
La Nueva Escuela - Tan Nervioso (Video Oficial),Montevideo Music Group,2,2024-07-10,2024-06-28,317707
"Fer Vazquez, Chili Fernandez, Candu Domínguez, Zhae - Prometí (Video Oficial)",Fer Vazquez ,3,2024-07-10,2024-06-26,1232448
"Tiago PZK, Manuel Turizo - De Vuelta (Video Oficial)",Tiago PZK,4,2024-07-10,2024-07-05,1176905
"Anuel AA, Ozuna,  DJ Luian, Mambo Kingz - Razones (Video Oficial)",Anuel AA,5,2024-07-10,2024-06-28,22023765
"La China, L-Gante, Jairo Vera - Llora Como Un Arrepentido [feat. Gino Mella] (Video Oficial)",La China,6,2024-07-10,2024-07-03,902411
"Myke Towers, Renn, Nio García, Yexel - MAQUILLAJE (Remix) Official Video",Myke Towers,7,2024-07-10,2024-07-02,2861523
"Tiago PZK, Duki - RCP (Visualizer)",Tiago PZK,8,2024-07-10,2024-07-05,914371
KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,KarolGVEVO,9,2024-07-10,2024-06-25,21775531
"Feid, ATL Jacob - LUNA (Letra/Lyrics)",Caribbean Breeze,10,2024-07-10,2024-07-02,2504945
"WYA REMIX BLACK AND YELLOW ⚫️🟡 - (Video Oficial) J Abdiel, Anuel AA, Blessd, Izaak & Pirlo",J abdiel,11,2024-07-10,2024-06-25,7950384
La Bocha 12 x Los Pikantes - Hoy (Video Oficial),La Bocha 12,12,2024-07-10,2024-06-20,342918
Emilia - La_Playlist.mpeg (Official Video),EmiliaMusicVEVO,13,2024-07-10,2024-06-20,5779611
"La Deskarga, Luana - Si tu Sabes (Video Oficial)",Montevideo Music Group,14,2024-07-10,2024-06-21,426222
"MESITA, DUKI - CEO (Video Oficial)",Mesita,15,2024-07-10,2024-06-18,3893667
Marka Akme ft La Nueva Escuela - No Confía,Marka Akme,16,2024-07-10,2024-06-21,309512
Te Gusto Este Bambini,1.7mrto - Topic,17,2024-07-10,2024-06-24,558472
Te Amo  -  Fede Rojas & Martin Piña,Fede Rojas,18,2024-07-10,2024-07-05,19518
Tiago PZK - Adicción (Visualizer),Tiago PZK,19,2024-07-10,2024-07-05,535602
YSY A FT. DE LA GHETTO - LA JOYA DE ESTA ERA (PROD. KOKI LS),YSY A,20,2024-07-10,2024-06-26,1521589
Canciones Despechadas,Vanesa Britos - Topic,21,2024-07-10,2024-06-27,21150
Trueno - REAL GANGSTA LOVE (Letra),magnificent,22,2024-07-10,2024-06-18,4604797
LISA - ROCKSTAR (Official Music Video),LLOUD Official,23,2024-07-10,2024-06-28,97008439
"SLAYTER, HADES66, BRYANT MYERS - 9x19 remix 🥷 (Official Video)",SLAYTER,24,2024-07-10,2024-07-09,467223
Cris MJ - No Ponga Excusas (Video Oficial),Cris MJ,25,2024-07-10,2024-06-21,8361447
SEVDALIZA - ALIBI FT. PABLLO VITTAR & YSEULT (OFFICIAL MUSIC VIDEO),Sevdaliza,26,2024-07-10,2024-06-28,13521294
JOTAPE - Mi Selección 🇺🇾,JOTAPE,27,2024-07-10,2024-06-20,172170
"Ke Personajes , Ulises Bueno | Intento (En Vivo)",Ke Personajes,28,2024-07-10,2024-06-13,5755518
"Ryan Castro, SOG, Selección Colombia - EL RITMO QUE NOS UNE (Video Oficial)",Ryan Castro,29,2024-07-10,2024-06-08,19137786
"La Joaqui, Ovy On The Drums - TURRA & BANDIDA (Video)",Ovy On The Drums,30,2024-07-10,2024-06-21,2260506
